,PNW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.4,21.45,Valuation,0.8111888111888111
Price/Sales (TTM),2.1,3.84,Valuation,0.546875
Price/Book (MRQ),1.39,2.52,Valuation,0.5515873015873015
"PEG Ratio (TTM, GAAP)",,0.23,Valuation,
Gross Profit Margin (TTM),,0.25170000000000003,Profitability,
Operating Profit Margin (TTM),0.1811,0.1625,Profitability,1.1144615384615384
Net Profit Margin (TTM),0.12539999999999998,0.1169,Profitability,1.072711719418306
Annual Dividend Yield,0.0452,0.0296,Dividend,1.527027027027027
Dividend Change %,0.051100000000000007,0.0463,Dividend,1.103671706263499
"Dividend Growth Rate, 3 Years",0.057699999999999994,0.0688,Dividend,0.8386627906976744
EPS Growth (MRQ),0.9844,0.6623,Gowth rates,1.486335497508682
EPS Growth (TTM),-0.0446,0.9514,Gowth rates,-0.04687828463317217
Revenue Growth (MRQ),0.38450000000000006,0.24920000000000003,Gowth rates,1.5429373996789728
Revenue Growth (TTM),0.09820000000000001,0.16010000000000002,Gowth rates,0.613366645846346
Return On Equity (TTM),0.081,0.09480000000000001,Effectiveness,0.8544303797468353
Return On Assets (TTM),0.0232,0.0229,Effectiveness,1.0131004366812226
Return On Investment (TTM),0.0255,0.0269,Effectiveness,0.9479553903345724
Revenue Per Employee (TTM),45208000.0,1731151.0,Effectiveness,26.114417517593786
Total Debt/Total Capital (MRQ),0.552,0.5767,Financial strength,0.9571701057742328
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0003,Financial strength,1.6666666666666667
Quick Ratio (MRQ),0.77,0.62,Financial strength,1.2419354838709677
Interest Coverage (MRQ),7.8,6.31,Financial strength,1.236133122028526
