,EQT
% Below High,0.172
% Held by Institutions,0.9541
52-Wk Range,['17.95 - 51.97']
Annual Dividend $,0.6
Annual Dividend %,0.0139
Ask,44.05
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.2
Bid,43.0
Bid Size,900.0
Closing Price,43.03
Day Change $,-0.53
Day Change %,-0.012199999999999999
Day High,43.76
Day Low,42.91
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.6
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.5750000000000001
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,15.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.36
Prev Close,43.56
Short Interest,0.0579
Today's Open,43.41
Volume,1711769.0
Volume 10-day Avg,5008457.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.050793650793651
Growth 2yr High Est,2.1043083900226756
Growth 2yr Consensus Est,1.5775510204081633
Growth 5yr Low Est,1.050793650793651
Growth 5yr High Est,2.1043083900226756
Growth 5yr Consensus Est,1.5775510204081633
Growth 5yr Actual/Est,-0.5913059560898056
Growth 3yr Historic,-1.7677552314521243
Price/Earnings (TTM),9.36294
Price/Sales (TTM),2.01004
Price/Book (MRQ),1.64696
Price/Cash Flow (TTM),4.36779
5yr Low,4.21
5yr High,60.35
5yr Avg Return,0.12181666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.17181180000000001
Dividend Growth 5yr,
Short Int Current Month,21145497.0
Short Int Prev Month,23650627.0
Short Int Pct of Float,0.0578624
Days to Cover,3.34362
Float,365.4667
Shares Outstanding,367.046
Institutions Holding Shares,772.0
FCF Growth 5yr,0.4561789895855428
"Price/Earnings (TTM, GAAP)",9.36
"PEG Ratio (TTM, GAAP)",0.11
Gross Profit Margin (TTM),0.8029000000000001
Operating Profit Margin (TTM),0.3457
Net Profit Margin (TTM),0.2379
Annual Dividend Yield,0.0139
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.22649999999999998
EPS Growth (TTM),1.5230000000000001
Revenue Growth (MRQ),-0.1812
Revenue Growth (TTM),15.453800000000001
Return On Equity (TTM),0.2082
Return On Assets (TTM),0.0821
Return On Investment (TTM),0.1182
Revenue Per Employee (TTM),11338460.0
Total Debt/Total Capital (MRQ),0.3306
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),16.82
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-23 00:00:00
cfra since,2022-07-29 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-23 00:00:00
