,ARW
% Above Low,0.23149999999999998
% Held by Institutions,0.9815
52-Wk Range,['89.38 - 137.95']
Annual Dividend $,
Annual Dividend %,
Ask,110.65
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,77.07
Bid Size,100.0
Closing Price,110.07
Day Change $,-0.12
Day Change %,-0.0011
Day High,111.04
Day Low,109.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",21.37
Ex-dividend Date,No dividend
Historical Volatility,0.316
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,6.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.15
Prev Close,110.19
Short Interest,0.0248
Today's Open,110.1
Volume,210079.0
Volume 10-day Avg,477259.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,1.9905660377358494
Growth 1yr High Est,1.9986666666666664
Growth 1yr Consensus Est,1.9946163522012579
Growth 2yr Low Est,0.7965448485209214
Growth 2yr High Est,0.8939531643693492
Growth 2yr Consensus Est,0.8452490064451353
Growth 5yr Low Est,0.3982724242604607
Growth 5yr High Est,0.4469765821846746
Growth 5yr Consensus Est,0.42262450322256767
Growth 5yr Actual/Est,0.29853815486184093
Growth 3yr Historic,0.25662251655629137
Price/Earnings (TTM),5.1501
Price/Sales (TTM),0.18389
Price/Book (MRQ),1.30303
Price/Cash Flow (TTM),4.12173
5yr Low,39.25
5yr High,137.95
5yr Avg Return,0.07298333333333332
EPS Growth 5yr,0.2159651
Revenue Growth 5yr,0.0797848
Dividend Growth 5yr,
Short Int Current Month,1512691.0
Short Int Prev Month,1630178.0
Short Int Pct of Float,0.0248003
Days to Cover,3.25933
Float,61.09891
Shares Outstanding,61.50826
Institutions Holding Shares,660.0
FCF Growth 5yr,-0.5258699502617784
"Price/Earnings (TTM, GAAP)",5.15
"PEG Ratio (TTM, GAAP)",1.26
Gross Profit Margin (TTM),0.1311
Operating Profit Margin (TTM),0.0559
Net Profit Margin (TTM),0.0395
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0488
EPS Growth (TTM),0.6415000000000001
Revenue Growth (MRQ),-0.020499999999999997
Revenue Growth (TTM),0.08560000000000001
Return On Equity (TTM),0.2779
Return On Assets (TTM),0.0766
Return On Investment (TTM),0.17190000000000003
Revenue Per Employee (TTM),1778622.0
Total Debt/Total Capital (MRQ),0.4169
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),9.61
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2020-03-18 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-09-03 00:00:00
