,ARW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.15,21.62,Valuation,0.2382053654024052
Price/Sales (TTM),0.18,5.43,Valuation,0.03314917127071823
Price/Book (MRQ),1.3,5.49,Valuation,0.23679417122040072
"PEG Ratio (TTM, GAAP)",1.26,14.73,Valuation,0.0855397148676171
Gross Profit Margin (TTM),0.1311,0.33659999999999995,Profitability,0.38948306595365423
Operating Profit Margin (TTM),0.0559,-0.0824,Profitability,-0.6783980582524272
Net Profit Margin (TTM),0.0395,-0.1173,Profitability,-0.33674339300937767
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.0488,0.1058,Gowth rates,-0.4612476370510397
EPS Growth (TTM),0.6415000000000001,-0.0147,Gowth rates,-43.63945578231293
Revenue Growth (MRQ),-0.020499999999999997,0.1655,Gowth rates,-0.12386706948640482
Revenue Growth (TTM),0.08560000000000001,0.1855,Gowth rates,0.4614555256064691
Return On Equity (TTM),0.2779,0.23850000000000002,Effectiveness,1.1651991614255763
Return On Assets (TTM),0.0766,0.0752,Effectiveness,1.0186170212765957
Return On Investment (TTM),0.17190000000000003,0.1041,Effectiveness,1.6512968299711819
Revenue Per Employee (TTM),1778622.0,449465.0,Effectiveness,3.9571980020691266
Total Debt/Total Capital (MRQ),0.4169,0.3575,Financial strength,1.166153846153846
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996,0.0362,Financial strength,0.09668508287292815
Quick Ratio (MRQ),1.06,1.53,Financial strength,0.6928104575163399
Interest Coverage (MRQ),9.61,15.46,Financial strength,0.6216041397153945
