,KYMR
% Above Low,1.1118000000000001
% Held by Institutions,0.9643999999999999
52-Wk Range,['13.15 - 66.45']
Annual Dividend $,
Annual Dividend %,
Ask,42.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,21.0
Bid Size,100.0
Closing Price,27.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.94
Ex-dividend Date,No dividend
Historical Volatility,0.87
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,27.77
Short Interest,0.1548
Today's Open,
Volume,201354.0
Volume 10-day Avg,564544.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.5253456221198158
Growth 1yr High Est,0.029761904761904878
Growth 1yr Consensus Est,0.27755376344086036
Growth 2yr Low Est,0.39409275063694715
Growth 2yr High Est,-0.26257569501789146
Growth 2yr Consensus Est,0.06575852780952784
Growth 5yr Low Est,0.39409275063694715
Growth 5yr High Est,-0.26257569501789146
Growth 5yr Consensus Est,0.06575852780952784
Growth 5yr Actual/Est,0.01906553085356259
Growth 3yr Historic,-0.11216931216931218
Price/Earnings (TTM),
Price/Sales (TTM),33.14898
Price/Book (MRQ),2.9645
Price/Cash Flow (TTM),
5yr Low,13.15
5yr High,91.92
5yr Avg Return,0.07303333333333334
Short Int Current Month,7883202.0
Short Int Prev Month,8354125.0
Short Int Pct of Float,0.1548298
Days to Cover,12.08287
Float,50.97501
Shares Outstanding,54.86473
Institutions Holding Shares,189.0
FCF Growth 5yr,0.24254653307883264
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-3.4076
Net Profit Margin (TTM),-3.3472000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0141
EPS Growth (TTM),-0.7386
Revenue Growth (MRQ),-0.1705
Revenue Growth (TTM),-0.34659999999999996
Return On Equity (TTM),-0.3089
Return On Assets (TTM),-0.2402
Return On Investment (TTM),-0.2809
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.0034999999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-12-02 00:00:00
theStreet since,2021-12-02 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
