,KYMR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),33.15,45.03,Valuation,0.7361758827448367
Price/Book (MRQ),2.96,12.61,Valuation,0.23473433782712133
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-3.4076,-4.7459,Profitability,0.718009229018732
Net Profit Margin (TTM),-3.3472000000000004,-4.5467,Profitability,0.7361822860536213
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0141,-0.0014000000000000002,Gowth rates,10.07142857142857
EPS Growth (TTM),-0.7386,0.027200000000000002,Gowth rates,-27.15441176470588
Revenue Growth (MRQ),-0.1705,1.3963999999999999,Gowth rates,-0.12209968490403898
Revenue Growth (TTM),-0.34659999999999996,0.9747,Gowth rates,-0.3555965938237406
Return On Equity (TTM),-0.3089,0.1967,Effectiveness,-1.5704117946110827
Return On Assets (TTM),-0.2402,0.0016,Effectiveness,-150.125
Return On Investment (TTM),-0.2809,0.0219,Effectiveness,-12.82648401826484
Revenue Per Employee (TTM),,1476201.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.0034999999999999996,0.4675,Financial strength,0.00748663101604278
Change in Debt/Total Capital Quarter over Quarter,-0.0029,0.0036,Financial strength,-0.8055555555555555
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
