,CRTO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.65,15.8,Valuation,1.6234177215189871
Price/Sales (TTM),0.75,2.92,Valuation,0.2568493150684932
Price/Book (MRQ),1.5,3.23,Valuation,0.46439628482972134
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.3766,0.5389,Profitability,0.6988309519391352
Operating Profit Margin (TTM),0.0196,0.14,Profitability,0.13999999999999999
Net Profit Margin (TTM),0.033100000000000004,0.1103,Profitability,0.30009066183136907
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),1.1865,0.7041,Gowth rates,1.6851299531316577
EPS Growth (TTM),-0.38799999999999996,0.0154,Gowth rates,-25.19480519480519
Revenue Growth (MRQ),-0.09730000000000001,0.1423,Gowth rates,-0.6837666900913564
Revenue Growth (TTM),-0.06910000000000001,0.1115,Gowth rates,-0.619730941704036
Return On Equity (TTM),0.0622,0.1409,Effectiveness,0.4414478353442158
Return On Assets (TTM),0.0354,0.0388,Effectiveness,0.9123711340206185
Return On Investment (TTM),0.0567,0.049800000000000004,Effectiveness,1.1385542168674698
Revenue Per Employee (TTM),757226.0,648551.0,Effectiveness,1.1675658506424322
Total Debt/Total Capital (MRQ),0.0003,0.5946,Financial strength,0.0005045408678102925
Change in Debt/Total Capital Quarter over Quarter,-0.0073,0.0004,Financial strength,-18.25
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),,5.53,Financial strength,
