,CRTO
% Above Low,0.2758
% Held by Institutions,0.9599
52-Wk Range,['20.56 - 43.49']
Annual Dividend $,
Annual Dividend %,
Ask,27.0
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,0.8
Bid,26.15
Bid Size,1000.0
Closing Price,26.23
Day Change $,-0.19
Day Change %,-0.0072
Day High,26.53
Day Low,26.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.02
Ex-dividend Date,No dividend
Historical Volatility,0.47600000000000003
Last (size),100.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.65
Prev Close,26.42
Short Interest,0.03
Today's Open,26.28
Volume,100749.0
Volume 10-day Avg,275544.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.11440677966101698
Growth 2yr High Est,0.0962962962962961
Growth 2yr Consensus Est,-0.009055241682360438
Growth 5yr Low Est,-0.11440677966101698
Growth 5yr High Est,0.0962962962962961
Growth 5yr Consensus Est,-0.009055241682360438
Growth 5yr Actual/Est,0.032910117184272614
Growth 3yr Historic,0.09258444225823709
Price/Earnings (TTM),25.65281
Price/Sales (TTM),0.74997
Price/Book (MRQ),1.50088
Price/Cash Flow (TTM),6.94427
5yr Low,5.89
5yr High,46.65
5yr Avg Return,0.026833333333333334
EPS Growth 5yr,0.1080025
Revenue Growth 5yr,0.0461322
Dividend Growth 5yr,
Short Int Current Month,1786340.0
Short Int Prev Month,1706980.0
Short Int Pct of Float,0.0300297
Days to Cover,5.92579
Float,59.49429
Shares Outstanding,60.2108
Institutions Holding Shares,163.0
FCF Growth 5yr,-0.09475802649963032
"Price/Earnings (TTM, GAAP)",25.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3766
Operating Profit Margin (TTM),0.0196
Net Profit Margin (TTM),0.033100000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1865
EPS Growth (TTM),-0.38799999999999996
Revenue Growth (MRQ),-0.09730000000000001
Revenue Growth (TTM),-0.06910000000000001
Return On Equity (TTM),0.0622
Return On Assets (TTM),0.0354
Return On Investment (TTM),0.0567
Revenue Per Employee (TTM),757226.0
Total Debt/Total Capital (MRQ),0.0003
Change in Debt/Total Capital Quarter over Quarter,-0.0073
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam,
cfra,rating-box
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-04-28 00:00:00
theStreet since,
researchTeam since,
cfra since,
