,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,44.9,45.96,35.82,27.6,38.27,36.45,,,,,
low,41.05,27.34,25.57,14.91,23.96,20.24,,,,,
change,0.0507,-0.3224,-0.1151,-0.0242,0.3396,-0.2059,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,4544.0,5015.0,4479.0,4783.0,Balance Sheet
"Total Receivables, Net",,,,,,,1435.0,1371.0,1415.0,1265.0,Balance Sheet
Total Current Assets,,,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1179.0,1142.0,1246.0,1208.0,Balance Sheet
"Goodwill, Net",,,,,,,4725.0,4718.0,5807.0,5779.0,Balance Sheet
Intangibles - Net,,,,,,,4784.0,4722.0,5177.0,5082.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,,761.0,593.0,745.0,772.0,Balance Sheet
LT Investments - Other,,,,,,,7244.0,7940.0,8389.0,8778.0,Balance Sheet
Long Term Investments,,,,,,,8005.0,8533.0,9134.0,9549.0,Balance Sheet
"Other Assets, Total",,,,,,,324.0,332.0,338.0,395.0,Balance Sheet
Total Assets,,,,,,,24995.0,25833.0,27596.0,28061.0,Balance Sheet
Payable/Accrued,,,,,,,1151.0,1159.0,993.0,1113.0,Balance Sheet
Accrued Expenses,,,,,,,1397.0,1477.0,1790.0,1993.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,867.0,592.0,521.0,523.0,Balance Sheet
Total Current Liabilities,,,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,,,7572.0,8488.0,8879.0,8834.0,Balance Sheet
Total Debt,,,,,,,7572.0,8488.0,8879.0,8834.0,Balance Sheet
Deferred Income Tax,,,,,,,219.0,252.0,291.0,348.0,Balance Sheet
Minority Interest,,,,,,,1627.0,1787.0,2235.0,2350.0,Balance Sheet
"Other Liabilities, Total",,,,,,,609.0,537.0,1344.0,1425.0,Balance Sheet
Total Liabilities,,,,,,,13442.0,14292.0,16052.0,16586.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,50.0,50.0,50.0,50.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,11892.0,11891.0,11998.0,12046.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,,,,0.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-377.0,-394.0,-494.0,-615.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-12.0,-7.0,-9.0,-6.0,Balance Sheet
"Other Equity, Total",,,,,,,-390.0,-401.0,-504.0,-621.0,Balance Sheet
Total Equity,,,,,,,11553.0,11541.0,11544.0,11475.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,24995.0,25833.0,27596.0,28061.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,503.0,500.0,498.0,500.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,2224.0,2081.0,2031.0,1939.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,805.0,805.0,778.0,741.0,Income Statement
Labor & Related Expense,,,,,,,803.0,753.0,767.0,768.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,1608.0,1558.0,1545.0,1509.0,Income Statement
Depreciation/Amortization,,,,,,,58.0,60.0,82.0,82.0,Income Statement
Total Operating Expense,,,,,,,1666.0,1618.0,1627.0,1591.0,Income Statement
Total Operating Income,,,,,,,558.0,463.0,405.0,349.0,Income Statement
