,BEN
% Above Low,0.32280000000000003
% Held by Institutions,0.4658
52-Wk Range,['20.24 - 36.45']
Annual Dividend $,1.16
Annual Dividend %,0.0433
Ask,28.0
Ask Size,200.0
B/A Ratio,17.5
B/A Size,3500x200
Beta,1.3
Bid,23.01
Bid Size,3500.0
Closing Price,26.77
Day Change $,0.22
Day Change %,0.0083
Day High,26.82
Day Low,26.46
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",2.53
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.38
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,13.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.59
Prev Close,26.55
Short Interest,0.0705
Today's Open,26.48
Volume,776005.0
Volume 10-day Avg,3222153.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.4005763688760807
Growth 1yr High Est,-0.2416666666666667
Growth 1yr Consensus Est,-0.3211215177713737
Growth 2yr Low Est,-0.13778818443804036
Growth 2yr High Est,-0.03841575091575089
Growth 2yr Consensus Est,-0.08810196767689563
Growth 5yr Low Est,0.01865454591327556
Growth 5yr High Est,0.051076822051021376
Growth 5yr Consensus Est,0.03486568398214847
Growth 5yr Actual/Est,0.04774511870979942
Growth 3yr Historic,0.10088460671624971
Price/Earnings (TTM),10.58823
Price/Sales (TTM),1.61604
Price/Book (MRQ),1.1655
Price/Cash Flow (TTM),7.52656
5yr Low,14.91
5yr High,45.96
5yr Avg Return,-0.04621666666666667
EPS Growth 5yr,-0.034329
Revenue Growth 5yr,0.052995900000000006
Dividend Growth 5yr,0.0807386
Short Int Current Month,19887659.0
Short Int Prev Month,22380080.0
Short Int Pct of Float,0.0704669
Days to Cover,4.0287
Float,283.198
Shares Outstanding,499.5586
Institutions Holding Shares,757.0
FCF Growth 5yr,1.6236327819709377
"Price/Earnings (TTM, GAAP)",10.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2144
Net Profit Margin (TTM),0.1611
Annual Dividend Yield,0.0433
Dividend Change %,0.036000000000000004
"Dividend Growth Rate, 3 Years",0.0442
EPS Growth (MRQ),-0.086
EPS Growth (TTM),-0.2928
Revenue Growth (MRQ),-0.0454
Revenue Growth (TTM),-0.0178
Return On Equity (TTM),0.1091
Return On Assets (TTM),0.051100000000000007
Return On Investment (TTM),0.0646
Revenue Per Employee (TTM),844418.0
Total Debt/Total Capital (MRQ),0.3899
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.24
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-11-02 00:00:00
ford since,2022-06-10 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-02-03 00:00:00
