,BEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.59,20.51,Valuation,0.5163334958556801
Price/Sales (TTM),1.62,12.46,Valuation,0.13001605136436598
Price/Book (MRQ),1.17,4.63,Valuation,0.2526997840172786
"PEG Ratio (TTM, GAAP)",,2.67,Valuation,
Gross Profit Margin (TTM),,0.5835,Profitability,
Operating Profit Margin (TTM),0.2144,0.269,Profitability,0.7970260223048327
Net Profit Margin (TTM),0.1611,0.1791,Profitability,0.8994974874371858
Annual Dividend Yield,0.0433,0.0257,Dividend,1.6848249027237352
Dividend Change %,0.036000000000000004,0.2049,Dividend,0.17569546120058568
"Dividend Growth Rate, 3 Years",0.0442,0.1213,Dividend,0.3643858202802968
EPS Growth (MRQ),-0.086,-0.2356,Gowth rates,0.365025466893039
EPS Growth (TTM),-0.2928,-0.0768,Gowth rates,3.8125000000000004
Revenue Growth (MRQ),-0.0454,0.0931,Gowth rates,-0.48764769065520946
Revenue Growth (TTM),-0.0178,0.0447,Gowth rates,-0.3982102908277405
Return On Equity (TTM),0.1091,0.1783,Effectiveness,0.6118900729108245
Return On Assets (TTM),0.051100000000000007,0.0492,Effectiveness,1.038617886178862
Return On Investment (TTM),0.0646,0.1008,Effectiveness,0.6408730158730159
Revenue Per Employee (TTM),844418.0,1125238.0,Effectiveness,0.7504350190804079
Total Debt/Total Capital (MRQ),0.3899,0.5241,Financial strength,0.7439419958023278
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.0008,Financial strength,1.0
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),4.24,21.92,Financial strength,0.19343065693430656
