,EWCZ
% Above Low,0.0959
% Held by Institutions,0.9311
52-Wk Range,['12.72 - 33.31']
Annual Dividend $,
Annual Dividend %,
Ask,22.3
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,13.5
Bid Size,100.0
Closing Price,13.94
Day Change $,0.1
Day Change %,0.0072
Day High,14.14
Day Low,13.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.06
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),12.0
Last (time),12:59p ET 11/25/22
Market Cap,630.5M
"P/E Ratio (TTM, GAAP)",217.37
Prev Close,13.84
Short Interest,0.1438
Today's Open,13.86
Volume,130640.0
Volume 10-day Avg,369553.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4545454545454546
Growth 2yr High Est,0.0888888888888888
Growth 2yr Consensus Est,-0.1828282828282829
Growth 5yr Low Est,-0.4545454545454546
Growth 5yr High Est,0.0888888888888888
Growth 5yr Consensus Est,-0.1828282828282829
Growth 5yr Actual/Est,-0.32210144927536233
Growth 3yr Historic,0.0
Price/Earnings (TTM),217.371
Price/Sales (TTM),4.45327
Price/Book (MRQ),12.54885
Price/Cash Flow (TTM),24.60877
5yr Low,12.72
5yr High,34.67
5yr Avg Return,0.0259
Short Int Current Month,4594408.0
Short Int Prev Month,4635199.0
Short Int Pct of Float,0.1437642
Days to Cover,9.05968
Float,45.06774
Shares Outstanding,63.55205
Institutions Holding Shares,140.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",217.37
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7199
Operating Profit Margin (TTM),0.1721
Net Profit Margin (TTM),0.0792
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2089
EPS Growth (TTM),1.8212000000000002
Revenue Growth (MRQ),0.0316
Revenue Growth (TTM),0.2213
Return On Equity (TTM),0.030600000000000002
Return On Assets (TTM),0.0259
Return On Investment (TTM),0.0348
Revenue Per Employee (TTM),1792216.0
Total Debt/Total Capital (MRQ),0.7334999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0106
Quick Ratio (MRQ),2.39
Interest Coverage (MRQ),1.68
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-08 00:00:00
researchTeam since,2022-11-08 00:00:00
ford since,2021-12-23 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
