,EWCZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",217.37,-674.43,Valuation,-0.3223017955903504
Price/Sales (TTM),4.45,3.81,Valuation,1.167979002624672
Price/Book (MRQ),12.55,2.94,Valuation,4.2687074829931975
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.7199,0.30350000000000005,Profitability,2.3719934102141678
Operating Profit Margin (TTM),0.1721,0.047,Profitability,3.6617021276595745
Net Profit Margin (TTM),0.0792,0.024900000000000002,Profitability,3.180722891566265
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),1.2089,-8.9082,Gowth rates,-0.1357064277856357
EPS Growth (TTM),1.8212000000000002,1.3234000000000001,Gowth rates,1.3761523348949676
Revenue Growth (MRQ),0.0316,0.0315,Gowth rates,1.0031746031746032
Revenue Growth (TTM),0.2213,0.1202,Gowth rates,1.841098169717138
Return On Equity (TTM),0.030600000000000002,0.0073,Effectiveness,4.191780821917808
Return On Assets (TTM),0.0259,-0.0022,Effectiveness,-11.772727272727272
Return On Investment (TTM),0.0348,0.005699999999999999,Effectiveness,6.105263157894737
Revenue Per Employee (TTM),1792216.0,227358.0,Effectiveness,7.882792776150389
Total Debt/Total Capital (MRQ),0.7334999999999999,0.5721,Financial strength,1.2821185107498687
Change in Debt/Total Capital Quarter over Quarter,0.0106,0.001,Financial strength,10.6
Quick Ratio (MRQ),2.39,0.56,Financial strength,4.267857142857142
Interest Coverage (MRQ),1.68,2.57,Financial strength,0.6536964980544747
