,SPCE
% Above Low,0.1679
% Held by Institutions,0.33030000000000004
52-Wk Range,['4.11 - 16.85']
Annual Dividend $,
Annual Dividend %,
Ask,4.81
Ask Size,7100.0
B/A Ratio,1.704225352112676
B/A Size,12100x7100
Beta,0.8
Bid,4.8
Bid Size,12100.0
Day Change $,-0.3
Day Change %,-0.0588
Day High,5.1
Day Low,4.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.65
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),100.0
Last (time),2:59p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.1
Price,4.8
Short Interest,0.1957
Today's Open,5.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.49612403100775193
Growth 1yr High Est,0.4672131147540983
Growth 1yr Consensus Est,0.4816685728809251
Growth 2yr Low Est,0.3309635699080211
Growth 2yr High Est,0.10232164117593184
Growth 2yr Consensus Est,0.21664260554197648
Growth 5yr Low Est,0.22064237993868074
Growth 5yr High Est,0.06821442745062123
Growth 5yr Consensus Est,0.144428403694651
Growth 5yr Actual/Est,0.14383981481673108
Growth 3yr Historic,0.072697247706422
Price/Earnings (TTM),
Price/Sales (TTM),883.9973
Price/Book (MRQ),2.28159
Price/Cash Flow (TTM),
5yr Low,4.11
5yr High,62.8
5yr Avg Return,0.01621666666666665
Short Int Current Month,43810072.0
Short Int Prev Month,45182462.0
Short Int Pct of Float,0.19572240000000002
Days to Cover,6.63307
Float,223.9117
Shares Outstanding,274.5592
Institutions Holding Shares,307.0
FCF Growth 5yr,0.42565825033717647
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5335
Operating Profit Margin (TTM),-270.173
Net Profit Margin (TTM),-271.5461
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.28809999999999997
EPS Growth (TTM),-0.0775
Revenue Growth (MRQ),1.1485
Revenue Growth (TTM),-0.49729999999999996
Return On Equity (TTM),-0.5433
Return On Assets (TTM),-0.3619
Return On Investment (TTM),-0.41200000000000003
Revenue Per Employee (TTM),1970.15
Total Debt/Total Capital (MRQ),0.4036
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.23
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-07 00:00:00
theStreet since,2022-08-16 00:00:00
cfra since,2022-07-07 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,
marketEdge opinion since,
