,SPCE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,50.64,Valuation,
Price/Sales (TTM),884.0,4.74,Valuation,186.49789029535864
Price/Book (MRQ),2.28,4.28,Valuation,0.5327102803738317
"PEG Ratio (TTM, GAAP)",,1.95,Valuation,
Gross Profit Margin (TTM),0.5335,0.19460000000000002,Profitability,2.741521068859198
Operating Profit Margin (TTM),-270.173,-0.5263,Profitability,513.3441003230097
Net Profit Margin (TTM),-271.5461,-0.5391,Profitability,503.70265256909664
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.28809999999999997,-3.8235,Gowth rates,0.07534981038315679
EPS Growth (TTM),-0.0775,0.2595,Gowth rates,-0.29865125240847784
Revenue Growth (MRQ),1.1485,0.0689,Gowth rates,16.669085631349784
Revenue Growth (TTM),-0.49729999999999996,0.0147,Gowth rates,-33.82993197278911
Return On Equity (TTM),-0.5433,0.1825,Effectiveness,-2.976986301369863
Return On Assets (TTM),-0.3619,0.047,Effectiveness,-7.7
Return On Investment (TTM),-0.41200000000000003,0.0521,Effectiveness,-7.907869481765836
Revenue Per Employee (TTM),1970.15,411752.0,Effectiveness,0.00478479764518448
Total Debt/Total Capital (MRQ),0.4036,0.5861,Financial strength,0.6886196894727863
Change in Debt/Total Capital Quarter over Quarter,,-0.0001,Financial strength,
Quick Ratio (MRQ),6.23,1.06,Financial strength,5.877358490566038
Interest Coverage (MRQ),,7.88,Financial strength,
