,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,33.98,55.79,75.49,85.65,77.75,,,,,
low,18.06,22.26,30.91,51.11,25.09,,,,,
change,0.3511,0.8577,0.5398,0.1099,-0.6318,,,,,
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,440.0,449.0,240.0,227.0,Balance Sheet
Short Term Investments,,,,,,,,207.0,228.0,Balance Sheet
Cash and Short Term Invs,,,,,,440.0,449.0,447.0,456.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,113.0,159.0,125.0,136.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-7.0,-8.0,-6.0,-5.0,Balance Sheet
"Total Receivables, Net",,,,,,106.0,151.0,119.0,131.0,Balance Sheet
Prepaid Expenses,,,,,,26.0,34.0,46.0,37.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,0.0,1.0,0.0,1.0,Balance Sheet
Total Current Assets,,,,,,573.0,635.0,612.0,624.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,107.0,104.0,106.0,102.0,Balance Sheet
"Goodwill, Net",,,,,,126.0,126.0,126.0,126.0,Balance Sheet
Intangibles - Gross,,,,,,62.0,62.0,62.0,62.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-15.0,-18.0,-20.0,-23.0,Balance Sheet
Intangibles - Net,,,,,,47.0,44.0,42.0,39.0,Balance Sheet
Deferred Charges,,,,,,80.0,91.0,94.0,101.0,Balance Sheet
Restricted Cash - LT,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,,,4.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,,,936.0,1003.0,982.0,994.0,Balance Sheet
Accounts Payable,,,,,,2.0,2.0,7.0,4.0,Balance Sheet
Accrued Expenses,,,,,,89.0,104.0,90.0,98.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,267.0,332.0,345.0,364.0,Balance Sheet
Total Current Liabilities,,,,,,357.0,437.0,442.0,466.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,67.0,61.0,59.0,54.0,Balance Sheet
Total Liabilities,,,,,,424.0,498.0,501.0,520.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,1001.0,1047.0,1094.0,1150.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-489.0,-543.0,-613.0,-675.0,Balance Sheet
"Other Equity, Total",,,,,,,,0.0,0.0,Balance Sheet
Total Equity,,,,,,512.0,505.0,481.0,475.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,936.0,1003.0,982.0,994.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,126.0,128.0,129.0,130.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,,,144628.0,157386.0,168310.0,186691.0,Income Statement
"Cost of Revenue, Total",,,,,,29415.0,33020.0,37158.0,40551.0,Income Statement
Selling/Gen/Admin Expense,,,,,,83340.0,96407.0,111138.0,117806.0,Income Statement
Labor & Related Expense,,,,,,15302.0,18868.0,24197.0,24909.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,98642.0,115275.0,135335.0,142715.0,Income Statement
Research & Development,,,,,,41151.0,48736.0,52519.0,53784.0,Income Statement
"Other Operat Expse, Total",,,,,,11400.0,12500.0,13100.0,14500.0,Income Statement
Total Operating Expense,,,,,,180608.0,209531.0,238112.0,251550.0,Income Statement
Total Operating Income,,,,,,-35980.0,-52145.0,-69802.0,-64859.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,12.0,13.0,388.0,1281.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-651.0,-925.0,-828.0,1624.0,Income Statement
"Other, Net",,,,,,-651.0,-925.0,-828.0,1624.0,Income Statement
Income Before Tax,,,,,,-36619.0,-53057.0,-70242.0,-61954.0,Income Statement
Income Tax - Total,,,,,,99.0,82.0,215.0,359.0,Income Statement
Income After Tax,,,,,,-36718.0,-53139.0,-70457.0,-62313.0,Income Statement
Net Inc Before Extra Items,,,,,,-36718.0,-53139.0,-70457.0,-62313.0,Income Statement
Total Net Income,,,,,,-36718.0,-53139.0,-70457.0,-62313.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-36718.0,-53139.0,-70457.0,-62313.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-36718.0,-53139.0,-70457.0,-62313.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,126118.0,127057.0,128519.0,129645.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.29,-0.42,-0.55,-0.48,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.29,-0.42,-0.55,-0.48,Income Statement
Diluted Weighted Average Shares,,,,,,126118.0,127057.0,128519.0,129645.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.29,-0.42,-0.55,-0.48,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.29,-0.42,-0.55,-0.48,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,,,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,2879.0,3990.0,3595.0,3677.0,Income Statement
Total Special Items,,,,,,2750.0,10.0,0.0,-461.0,Income Statement
Normalzd Income Before Tax,,,,,,-33869.0,-53047.0,-70242.0,-62415.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,963.0,4.0,0.0,-161.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,1062.0,86.0,215.0,198.0,Income Statement
Normalized Income After Tax,,,,,,-34931.0,-53133.0,-70457.0,-62613.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-34931.0,-53133.0,-70457.0,-62613.0,Income Statement
Basic Normalized EPS,,,,,,-0.28,-0.42,-0.55,-0.48,Income Statement
Diluted Normalized EPS,,,,,,-0.28,-0.42,-0.55,-0.48,Income Statement
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,,,-117958.0,-171097.0,-70457.0,-132770.0,Cash Flow
Depreciation/Depletion,,,,,,7664.0,21765.0,6078.0,12239.0,Cash Flow
Amortization,,,,,,7562.0,,,,Cash Flow
Unusual Items,,,,,,0.0,0.0,,,Cash Flow
Other Non-Cash Items,,,,,,122479.0,174533.0,61416.0,123294.0,Cash Flow
Non-Cash Items,,,,,,122479.0,174533.0,61416.0,123294.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,150.0,196.0,68.0,191.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,0.0,0.0,,,Cash Flow
