,SMAR
% Above Low,0.14150000000000001
% Held by Institutions,0.9165000000000001
52-Wk Range,['25.09 - 80.89']
Annual Dividend $,
Annual Dividend %,
Ask,28.66
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,28.63
Bid Size,200.0
Day Change $,-0.23
Day Change %,-0.008
Day High,29.22
Day Low,28.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.74
Ex-dividend Date,No dividend
Historical Volatility,0.705
Last (size),100.0
Last (time),2:38p ET 11/28/22
Market Cap,3.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,28.87
Price,28.64
Short Interest,0.0212
Today's Open,28.64
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.09433962264150941
Growth 1yr High Est,0.08333333333333348
Growth 1yr Consensus Est,0.08883647798742145
Growth 2yr Low Est,-0.030416395575797006
Growth 2yr High Est,-0.2948717948717948
Growth 2yr Consensus Est,-0.16264409522379591
Growth 5yr Low Est,-0.015208197787898503
Growth 5yr High Est,-0.1474358974358974
Growth 5yr Consensus Est,-0.08132204761189796
Growth 5yr Actual/Est,-7.074013138702595e-05
Growth 3yr Historic,-0.11951144094001234
Price/Earnings (TTM),
Price/Sales (TTM),5.73872
Price/Book (MRQ),7.91563
Price/Cash Flow (TTM),
5yr Low,18.06
5yr High,85.65
5yr Avg Return,0.24534
EPS Growth 5yr,
Revenue Growth 5yr,0.5241775
Dividend Growth 5yr,
Short Int Current Month,2670483.0
Short Int Prev Month,3176609.0
Short Int Pct of Float,0.021222599999999998
Days to Cover,1.56939
Float,126.538
Shares Outstanding,130.6002
Institutions Holding Shares,360.0
FCF Growth 5yr,-0.3981276359830222
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7867000000000001
Operating Profit Margin (TTM),-0.33909999999999996
Net Profit Margin (TTM),-0.33880000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1233
EPS Growth (TTM),-0.5129
Revenue Growth (MRQ),0.1092
Revenue Growth (TTM),0.43570000000000003
Return On Equity (TTM),-0.4516
Return On Assets (TTM),-0.2325
Return On Investment (TTM),-0.40130000000000005
Revenue Per Employee (TTM),258769.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2019-06-06 00:00:00
theStreet since,2019-06-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-08-13 00:00:00
cfra since,
marketEdge opinion since,
