,SMAR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.74,9.39,Valuation,0.6112886048988285
Price/Book (MRQ),7.92,12.63,Valuation,0.6270783847980997
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7867000000000001,0.7206,Profitability,1.0917291146267
Operating Profit Margin (TTM),-0.33909999999999996,0.2172,Profitability,-1.561233885819521
Net Profit Margin (TTM),-0.33880000000000005,0.1553,Profitability,-2.1815840309079206
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.1233,-0.0752,Gowth rates,-1.639627659574468
EPS Growth (TTM),-0.5129,-0.2824,Gowth rates,1.816218130311615
Revenue Growth (MRQ),0.1092,0.15560000000000002,Gowth rates,0.7017994858611825
Revenue Growth (TTM),0.43570000000000003,0.1906,Gowth rates,2.2859391395592867
Return On Equity (TTM),-0.4516,0.2189,Effectiveness,-2.063042485153038
Return On Assets (TTM),-0.2325,0.10740000000000001,Effectiveness,-2.164804469273743
Return On Investment (TTM),-0.40130000000000005,0.1387,Effectiveness,-2.8932948810382126
Revenue Per Employee (TTM),258769.0,667721.0,Effectiveness,0.3875406045339296
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
