,WHD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",34.19,669.05,Valuation,0.05110230924445109
Price/Sales (TTM),6.36,2.16,Valuation,2.944444444444444
Price/Book (MRQ),7.37,3.21,Valuation,2.29595015576324
"PEG Ratio (TTM, GAAP)",0.59,45.77,Valuation,0.012890539654795715
Gross Profit Margin (TTM),0.3329,0.1895,Profitability,1.7567282321899735
Operating Profit Margin (TTM),0.2415,0.0622,Profitability,3.882636655948553
Net Profit Margin (TTM),0.1979,0.011899999999999999,Profitability,16.630252100840337
Annual Dividend Yield,0.0083,0.0131,Dividend,0.6335877862595419
Dividend Change %,0.0556,-0.2443,Dividend,-0.22758902988129348
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),0.1577,0.659,Gowth rates,0.2393019726858877
EPS Growth (TTM),1.3463,-0.1462,Gowth rates,-9.208618331053351
Revenue Growth (MRQ),0.08380000000000001,0.3728,Gowth rates,0.2247854077253219
Revenue Growth (TTM),0.6735,0.2954,Gowth rates,2.2799593771157753
Return On Equity (TTM),0.1882,0.0775,Effectiveness,2.428387096774194
Return On Assets (TTM),0.12119999999999999,0.0348,Effectiveness,3.4827586206896552
Return On Investment (TTM),0.1575,0.1063,Effectiveness,1.4816556914393226
Revenue Per Employee (TTM),608014.0,673709.0,Effectiveness,0.9024875725276047
Total Debt/Total Capital (MRQ),0.0183,0.3983,Financial strength,0.045945267386392166
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0006,Financial strength,1.0
Quick Ratio (MRQ),3.51,1.2,Financial strength,2.925
Interest Coverage (MRQ),,15.83,Financial strength,
