,WHD
% Below High,0.20739999999999997
% Held by Institutions,1.0363
52-Wk Range,['34.70 - 64.18']
Annual Dividend $,0.44
Annual Dividend %,0.0083
Ask,57.68
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.9
Bid,39.89
Bid Size,300.0
Closing Price,50.87
Day Change $,-2.02
Day Change %,-0.0382
Day High,52.63
Day Low,50.39
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.55
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.564
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",34.19
Prev Close,52.89
Short Interest,0.0275
Today's Open,51.29
Volume,506925.0
Volume 10-day Avg,366733.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.03846153846153855
Growth 1yr High Est,0.005376344086021501
Growth 1yr Consensus Est,-0.016542597187758523
Growth 2yr Low Est,0.13505494505494497
Growth 2yr High Est,0.20322293140129954
Growth 2yr Consensus Est,0.16913893822812226
Growth 5yr Low Est,0.06752747252747249
Growth 5yr High Est,0.10161146570064977
Growth 5yr Consensus Est,0.08456946911406113
Growth 5yr Actual/Est,0.3054458068046846
Growth 3yr Historic,-0.15530637796435412
Price/Earnings (TTM),34.19163
Price/Sales (TTM),6.36499
Price/Book (MRQ),7.37394
Price/Cash Flow (TTM),25.14769
5yr Low,8.16
5yr High,64.18
5yr Avg Return,0.21884000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.2311708
Dividend Growth 5yr,
Short Int Current Month,1660776.0
Short Int Prev Month,1980151.0
Short Int Pct of Float,0.027522099999999997
Days to Cover,4.02829
Float,60.32379
Shares Outstanding,75.87812
Institutions Holding Shares,292.0
FCF Growth 5yr,0.8213718324152527
"Price/Earnings (TTM, GAAP)",34.19
"PEG Ratio (TTM, GAAP)",0.59
Gross Profit Margin (TTM),0.3329
Operating Profit Margin (TTM),0.2415
Net Profit Margin (TTM),0.1979
Annual Dividend Yield,0.0083
Dividend Change %,0.0556
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1577
EPS Growth (TTM),1.3463
Revenue Growth (MRQ),0.08380000000000001
Revenue Growth (TTM),0.6735
Return On Equity (TTM),0.1882
Return On Assets (TTM),0.12119999999999999
Return On Investment (TTM),0.1575
Revenue Per Employee (TTM),608014.0
Total Debt/Total Capital (MRQ),0.0183
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),3.51
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2022-03-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
