,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,40.97,40.68,35.28,46.94,64.18,,,,,
low,19.18,24.23,8.16,24.98,34.7,,,,,
change,0.29910000000000003,0.2636,-0.2483,0.4471,0.33270000000000005,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,302.0,298.0,312.0,321.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,66.0,82.0,98.0,98.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,,,89.0,104.0,126.0,132.0,Balance Sheet
Invent. - Finished Goods,,,,,,114.0,129.0,140.0,153.0,Balance Sheet
Invent. - Work In Progress,,,,,,4.0,5.0,6.0,7.0,Balance Sheet
Invent. - Raw Materials,,,,,,2.0,2.0,3.0,3.0,Balance Sheet
Total Inventory,,,,,,120.0,136.0,149.0,163.0,Balance Sheet
Prepaid Expenses,,,,,,8.0,8.0,8.0,12.0,Balance Sheet
Total Current Assets,,,,,,518.0,546.0,595.0,627.0,Balance Sheet
Buildings,,,,,,23.0,24.0,24.0,25.0,Balance Sheet
Land/Improvements,,,,,,3.0,6.0,6.0,5.0,Balance Sheet
Machinery/Equipment,,,,,,60.0,61.0,61.0,61.0,Balance Sheet
Construction in Progress,,,,,,13.0,12.0,13.0,15.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,228.0,236.0,237.0,243.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,328.0,339.0,342.0,348.0,Balance Sheet
Accumulated Depreciation,,,,,,-176.0,-184.0,-190.0,-196.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,152.0,154.0,151.0,152.0,Balance Sheet
"Goodwill, Net",,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Other Long Term Assets,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,,,,982.0,1026.0,1070.0,1095.0,Balance Sheet
Accounts Payable,,,,,,43.0,51.0,57.0,62.0,Balance Sheet
Accrued Expenses,,,,,,31.0,34.0,39.0,36.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,5.0,6.0,6.0,6.0,Balance Sheet
Customer Advances,,,,,,2.0,,,,Balance Sheet
Other Current Liabilities,,,,,,12.0,12.0,12.0,28.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,14.0,12.0,12.0,28.0,Balance Sheet
Total Current Liabilities,,,,,,93.0,102.0,114.0,132.0,Balance Sheet
Total Long Term Debt,,,,,,6.0,7.0,7.0,7.0,Balance Sheet
Total Debt,,,,,,11.0,13.0,13.0,13.0,Balance Sheet
Deferred Income Tax,,,,,,1.0,1.0,1.0,2.0,Balance Sheet
Minority Interest,,,,,,126.0,123.0,127.0,131.0,Balance Sheet
"Other Liabilities, Total",,,,,,287.0,300.0,305.0,278.0,Balance Sheet
Total Liabilities,,,,,,513.0,534.0,553.0,551.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,290.0,299.0,304.0,308.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,178.0,192.0,213.0,238.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,0.0,-1.0,-2.0,Balance Sheet
