,CLAR
% Above Low,0.0712
% Held by Institutions,0.9520000000000001
52-Wk Range,['7.16 - 29.32']
Annual Dividend $,0.1
Annual Dividend %,0.013000000000000001
Ask,7.84
Ask Size,200.0
B/A Ratio,7.0
B/A Size,1400x200
Beta,0.9
Bid,7.37
Bid Size,1400.0
Closing Price,7.67
Day Change $,0.05
Day Change %,0.0066
Day High,7.83
Day Low,7.61
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",0.64
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.6829999999999999
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,284.3M
"P/E Ratio (TTM, GAAP)",11.92
Prev Close,7.62
Short Interest,0.21539999999999998
Today's Open,7.67
Volume,219810.0
Volume 10-day Avg,711467.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.7846153846153845
Growth 1yr High Est,0.7142857142857144
Growth 1yr Consensus Est,0.7494505494505495
Growth 2yr Low Est,0.06472148541114053
Growth 2yr High Est,0.4904761904761906
Growth 2yr Consensus Est,0.2775988379436656
Growth 5yr Low Est,0.024898056138406094
Growth 5yr High Est,0.2525910364145659
Growth 5yr Consensus Est,0.13874454627648597
Growth 5yr Actual/Est,0.22294752831125084
Growth 3yr Historic,0.27862318840579714
Price/Earnings (TTM),11.9179
Price/Sales (TTM),0.61473
Price/Book (MRQ),0.78236
Price/Cash Flow (TTM),5.80658
5yr Low,6.32
5yr High,32.36
5yr Avg Return,0.14699999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.2045554
Dividend Growth 5yr,
Short Int Current Month,5320721.0
Short Int Prev Month,5984596.0
Short Int Pct of Float,0.21536850000000002
Days to Cover,6.00158
Float,24.69519
Shares Outstanding,37.03647
Institutions Holding Shares,186.0
FCF Growth 5yr,0.2828331382515866
"Price/Earnings (TTM, GAAP)",11.92
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.368
Operating Profit Margin (TTM),0.0674
Net Profit Margin (TTM),0.055999999999999994
Annual Dividend Yield,0.013000000000000001
Dividend Change %,0.33530000000000004
"Dividend Growth Rate, 3 Years",0.2618
EPS Growth (MRQ),-0.267
EPS Growth (TTM),0.16149999999999998
Revenue Growth (MRQ),0.0068000000000000005
Revenue Growth (TTM),0.3854
Return On Equity (TTM),0.0819
Return On Assets (TTM),0.0431
Return On Investment (TTM),0.0483
Revenue Per Employee (TTM),486428.0
Total Debt/Total Capital (MRQ),0.3153
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),1.67
Interest Coverage (MRQ),3.15
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-06-28 00:00:00
ford since,2022-07-15 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-09-23 00:00:00
marketEdge opinion since,
