,CLAR
Price/Earnings (TTM),11.9179
Price/Sales (TTM),0.61473
Price/Book (MRQ),0.78236
Price/Cash Flow (TTM),5.80658
5yr Low,6.32
5yr High,32.36
5yr Avg Return,0.14699999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.2045554
Dividend Growth 5yr,
Short Int Current Month,5320721.0
Short Int Prev Month,5984596.0
Short Int Pct of Float,0.21536850000000002
Days to Cover,6.00158
Float,24.69519
Shares Outstanding,37.03647
Institutions Holding Shares,186.0
% Held by Institutions,0.9520029999999999
FCF Growth 5yr,0.2828331382515866
