,CLAR
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.7846153846153845
Growth 1yr High Est,0.7142857142857144
Growth 1yr Consensus Est,0.7494505494505495
Growth 2yr Low Est,0.06472148541114053
Growth 2yr High Est,0.4904761904761906
Growth 2yr Consensus Est,0.2775988379436656
Growth 5yr Low Est,0.024898056138406094
Growth 5yr High Est,0.2525910364145659
Growth 5yr Consensus Est,0.13874454627648597
Growth 5yr Actual/Est,0.22294752831125084
Growth 3yr Historic,0.27862318840579714
