,CERE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),7.38,12.61,Valuation,0.5852498017446471
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0756,-0.0014000000000000002,Gowth rates,53.99999999999999
EPS Growth (TTM),0.31260000000000004,0.027200000000000002,Gowth rates,11.49264705882353
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.5157,0.1967,Effectiveness,-2.6217590238942554
Return On Assets (TTM),-0.3478,0.0016,Effectiveness,-217.375
Return On Investment (TTM),-0.36600000000000005,0.0219,Effectiveness,-16.71232876712329
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.35700000000000004,0.4675,Financial strength,0.7636363636363637
Change in Debt/Total Capital Quarter over Quarter,0.04820000000000001,0.0036,Financial strength,13.388888888888891
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-86.9,2.69,Financial strength,-32.30483271375465
