,TDS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.11,25.68,Valuation,0.9388629283489096
Price/Sales (TTM),0.2,2.14,Valuation,0.09345794392523364
Price/Book (MRQ),0.24,2.54,Valuation,0.09448818897637795
"PEG Ratio (TTM, GAAP)",,0.52,Valuation,
Gross Profit Margin (TTM),0.526,0.6029,Profitability,0.8724498258417649
Operating Profit Margin (TTM),0.0315,0.07200000000000001,Profitability,0.43749999999999994
Net Profit Margin (TTM),0.0252,0.0338,Profitability,0.7455621301775148
Annual Dividend Yield,0.0699,0.0005,Dividend,139.8
Dividend Change %,0.0294,-0.0034999999999999996,Dividend,-8.4
"Dividend Growth Rate, 3 Years",0.030299999999999997,-0.0015,Dividend,-20.2
EPS Growth (MRQ),-2.4133,-0.49090000000000006,Gowth rates,4.916072519861478
EPS Growth (TTM),-0.5839,0.4903,Gowth rates,-1.190903528451968
Revenue Growth (MRQ),0.0319,0.0401,Gowth rates,0.7955112219451371
Revenue Growth (TTM),0.0178,0.0589,Gowth rates,0.3022071307300509
Return On Equity (TTM),0.0101,0.0433,Effectiveness,0.23325635103926098
Return On Assets (TTM),0.0098,0.0148,Effectiveness,0.6621621621621621
Return On Investment (TTM),0.0116,0.015500000000000002,Effectiveness,0.7483870967741935
Revenue Per Employee (TTM),616818.0,1257415.0,Effectiveness,0.4905444900848169
Total Debt/Total Capital (MRQ),0.35100000000000003,0.554,Financial strength,0.6335740072202166
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0009,Financial strength,1.3333333333333333
Quick Ratio (MRQ),1.3,0.79,Financial strength,1.6455696202531644
Interest Coverage (MRQ),-3.5,3.9,Financial strength,-0.8974358974358975
