,INCY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.89,471.78,Valuation,0.0421594811140786
Price/Sales (TTM),5.23,45.03,Valuation,0.11614479236064847
Price/Book (MRQ),4.12,12.61,Valuation,0.3267248215701824
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9489000000000001,0.5874,Profitability,1.615423901940756
Operating Profit Margin (TTM),0.1862,-4.7459,Profitability,-0.039233865020333346
Net Profit Margin (TTM),0.263,-4.5467,Profitability,-0.05784415070270746
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.303,-0.0014000000000000002,Gowth rates,216.4285714285714
EPS Growth (TTM),0.6297,0.027200000000000002,Gowth rates,23.15073529411765
Revenue Growth (MRQ),-0.09670000000000001,1.3963999999999999,Gowth rates,-0.06924949871097108
Revenue Growth (TTM),0.1435,0.9747,Gowth rates,0.1472247871139838
Return On Equity (TTM),0.23760000000000003,0.1967,Effectiveness,1.2079308591764109
Return On Assets (TTM),0.18050000000000002,0.0016,Effectiveness,112.81250000000001
Return On Investment (TTM),0.22010000000000002,0.0219,Effectiveness,10.050228310502284
Revenue Per Employee (TTM),1590634.0,1476201.0,Effectiveness,1.0775185763998263
Total Debt/Total Capital (MRQ),0.0079,0.4675,Financial strength,0.016898395721925134
Change in Debt/Total Capital Quarter over Quarter,-0.0024,0.0036,Financial strength,-0.6666666666666666
Quick Ratio (MRQ),3.75,2.06,Financial strength,1.820388349514563
Interest Coverage (MRQ),90.89,2.69,Financial strength,33.78810408921933
