,INCY
% Below High,0.07780000000000001
% Held by Institutions,0.971
52-Wk Range,['63.40 - 84.86']
Annual Dividend $,
Annual Dividend %,
Ask,79.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,78.3
Bid Size,100.0
Closing Price,78.26
Day Change $,0.5
Day Change %,0.0064
Day High,78.26
Day Low,77.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.94
Ex-dividend Date,No dividend
Historical Volatility,0.278
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,17.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.89
Prev Close,77.76
Short Interest,0.0322
Today's Open,77.33
Volume,238798.0
Volume 10-day Avg,1022205.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.016000000000000014
Growth 1yr High Est,-0.02006688963210701
Growth 1yr Consensus Est,-0.002033444816053498
Growth 2yr Low Est,0.07492913385826772
Growth 2yr High Est,0.35344778385288833
Growth 2yr Consensus Est,0.21418845885557802
Growth 5yr Low Est,0.03746456692913386
Growth 5yr High Est,0.17672389192644417
Growth 5yr Consensus Est,0.10709422942778901
Growth 5yr Actual/Est,-2.0617978867806026
Growth 3yr Historic,-2.179959616355376
Price/Earnings (TTM),19.8851
Price/Sales (TTM),5.22727
Price/Book (MRQ),4.11894
Price/Cash Flow (TTM),18.51153
5yr Low,57.0
5yr High,110.37
5yr Avg Return,-0.009199999999999996
EPS Growth 5yr,0.5140486
Revenue Growth 5yr,0.2198229
Dividend Growth 5yr,
Short Int Current Month,7039829.0
Short Int Prev Month,8374918.0
Short Int Pct of Float,0.032197300000000005
Days to Cover,3.83376
Float,218.9275
Shares Outstanding,222.4755
Institutions Holding Shares,827.0
FCF Growth 5yr,0.3022682453009981
"Price/Earnings (TTM, GAAP)",19.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9489000000000001
Operating Profit Margin (TTM),0.1862
Net Profit Margin (TTM),0.263
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.303
EPS Growth (TTM),0.6297
Revenue Growth (MRQ),-0.09670000000000001
Revenue Growth (TTM),0.1435
Return On Equity (TTM),0.23760000000000003
Return On Assets (TTM),0.18050000000000002
Return On Investment (TTM),0.22010000000000002
Revenue Per Employee (TTM),1590634.0
Total Debt/Total Capital (MRQ),0.0079
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),3.75
Interest Coverage (MRQ),90.89
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-08-23 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-02 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
