,NEOG
% Above Low,0.551
% Held by Institutions,0.9022
52-Wk Range,['10.49 - 47.80']
Annual Dividend $,
Annual Dividend %,
Ask,16.5
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,0.8
Bid,15.62
Bid Size,200.0
Closing Price,16.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.34
Ex-dividend Date,No dividend
Historical Volatility,0.42200000000000004
Last (size),54.0
Last (time),1:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",48.2
Prev Close,16.27
Short Interest,0.0666
Today's Open,
Volume,944709.0
Volume 10-day Avg,3183184.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-1.1018518518518519
Growth 1yr High Est,-1.0956521739130434
Growth 1yr Consensus Est,-1.0987520128824477
Growth 2yr Low Est,-0.7327441077441077
Growth 2yr High Est,-0.7296442687747035
Growth 2yr Consensus Est,-0.7311941882594055
Growth 5yr Low Est,-0.36637205387205385
Growth 5yr High Est,-0.3648221343873517
Growth 5yr Consensus Est,-0.3655970941297028
Growth 5yr Actual/Est,-0.4501874952532848
Growth 3yr Historic,-0.04816729323308275
Price/Earnings (TTM),48.19741
Price/Sales (TTM),6.61907
Price/Book (MRQ),1.9852
Price/Cash Flow (TTM),58.42592
5yr Low,10.49
5yr High,48.85
5yr Avg Return,-0.03686666666666666
EPS Growth 5yr,0.008834
Revenue Growth 5yr,0.0803004
Dividend Growth 5yr,
Short Int Current Month,14372145.0
Short Int Prev Month,14763614.0
Short Int Pct of Float,0.0666117
Days to Cover,2.94629
Float,215.7961
Shares Outstanding,216.1077
Institutions Holding Shares,472.0
FCF Growth 5yr,-0.46818227592390443
"Price/Earnings (TTM, GAAP)",48.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4617
Operating Profit Margin (TTM),0.0808
Net Profit Margin (TTM),0.06860000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.652
EPS Growth (TTM),-0.4142
Revenue Growth (MRQ),-0.0553
Revenue Growth (TTM),0.0898
Return On Equity (TTM),0.04190000000000001
Return On Assets (TTM),0.0382
Return On Investment (TTM),0.04070000000000001
Revenue Per Employee (TTM),251994.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),7.15
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-01-07 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
