,NEOG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",48.2,61.36,Valuation,0.7855280312907432
Price/Sales (TTM),6.62,9.8,Valuation,0.6755102040816326
Price/Book (MRQ),1.99,10.31,Valuation,0.1930164888457808
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.4617,0.6196,Profitability,0.7451581665590703
Operating Profit Margin (TTM),0.0808,0.047,Profitability,1.7191489361702128
Net Profit Margin (TTM),0.06860000000000001,0.009300000000000001,Profitability,7.376344086021505
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.652,-0.4858,Gowth rates,1.342116097159325
EPS Growth (TTM),-0.4142,-0.2029,Gowth rates,2.0413997042878265
Revenue Growth (MRQ),-0.0553,0.1161,Gowth rates,-0.47631352282515077
Revenue Growth (TTM),0.0898,0.18300000000000002,Gowth rates,0.49071038251366117
Return On Equity (TTM),0.04190000000000001,0.1068,Effectiveness,0.39232209737827717
Return On Assets (TTM),0.0382,0.0622,Effectiveness,0.6141479099678456
Return On Investment (TTM),0.04070000000000001,0.0732,Effectiveness,0.5560109289617488
Revenue Per Employee (TTM),251994.0,403586.0,Effectiveness,0.6243873672525806
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),7.15,2.25,Financial strength,3.177777777777778
Interest Coverage (MRQ),,14.99,Financial strength,
