,DTE
% Above Low,0.1405
% Held by Institutions,0.7445999999999999
52-Wk Range,['100.64 - 140.23']
Annual Dividend $,3.81
Annual Dividend %,0.0332
Ask,115.6
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.6
Bid,111.08
Bid Size,1000.0
Closing Price,114.78
Day Change $,0.29
Day Change %,0.0025
Day High,115.42
Day Low,114.6
Dividend Pay Date,2023-01-15 00:00:00
"EPS (TTM, GAAP)",5.75
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.22
Last (size),4800.0
Last (time),5:00p ET 11/25/22
Market Cap,22.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.95
Prev Close,114.49
Short Interest,0.01
Today's Open,114.91
Volume,386971.0
Volume 10-day Avg,1595886.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.010204081632653184
Growth 1yr High Est,-0.10882352941176476
Growth 1yr Consensus Est,-0.04930972388955579
Growth 2yr Low Est,0.022778808493094216
Growth 2yr High Est,-0.026358959425354267
Growth 2yr Consensus Est,-0.0017900754661300255
Growth 5yr Low Est,0.0034427363474806294
Growth 5yr High Est,0.0075566645698165735
Growth 5yr Consensus Est,0.0054997004586486015
Growth 5yr Actual/Est,0.004811707013111122
Growth 3yr Historic,-0.006407157206879011
Price/Earnings (TTM),19.95282
Price/Sales (TTM),1.14633
Price/Book (MRQ),2.47636
Price/Cash Flow (TTM),8.62595
5yr Low,71.21
5yr High,145.43
5yr Avg Return,0.003383333333333332
EPS Growth 5yr,-0.0329016
Revenue Growth 5yr,0.0707865
Dividend Growth 5yr,0.055621000000000004
Short Int Current Month,1917921.0
Short Int Prev Month,4607800.0
Short Int Pct of Float,0.0099779
Days to Cover,1.2948
Float,192.2375
Shares Outstanding,193.742
Institutions Holding Shares,948.0
FCF Growth 5yr,-3.182004396238169
"Price/Earnings (TTM, GAAP)",19.95
"PEG Ratio (TTM, GAAP)",2.43
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.08720000000000001
Net Profit Margin (TTM),0.0576
Annual Dividend Yield,0.0332
Dividend Change %,-0.0588
"Dividend Growth Rate, 3 Years",0.032
EPS Growth (MRQ),9.432500000000001
EPS Growth (TTM),1.0962
Revenue Growth (MRQ),0.0664
Revenue Growth (TTM),0.4867
Return On Equity (TTM),0.1272
Return On Assets (TTM),0.0275
Return On Investment (TTM),0.0309
Revenue Per Employee (TTM),1883398.0
Total Debt/Total Capital (MRQ),0.6885
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.6
Interest Coverage (MRQ),3.39
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-12-31 00:00:00
cfra since,2022-03-24 00:00:00
ford since,2022-07-29 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-07 00:00:00
