,OFIX
% Above Low,0.24780000000000002
% Held by Institutions,0.9931
52-Wk Range,['13.76 - 36.13']
Annual Dividend $,
Annual Dividend %,
Ask,19.85
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,12.37
Bid Size,100.0
Closing Price,17.17
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.28
Ex-dividend Date,No dividend
Historical Volatility,0.439
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,343.5M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,17.17
Short Interest,0.051
Today's Open,
Volume,75923.0
Volume 10-day Avg,185320.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5897435897435896
Growth 2yr High Est,0.9333333333333333
Growth 2yr Consensus Est,0.7615384615384615
Growth 5yr Low Est,0.5897435897435896
Growth 5yr High Est,0.9333333333333333
Growth 5yr Consensus Est,0.7615384615384615
Growth 5yr Actual/Est,0.4496291360909301
Growth 3yr Historic,0.3711407639979068
Price/Earnings (TTM),
Price/Sales (TTM),0.74124
Price/Book (MRQ),1.02993
Price/Cash Flow (TTM),
5yr Low,13.76
5yr High,74.44
5yr Avg Return,-0.15651666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.025371800000000003
Dividend Growth 5yr,
Short Int Current Month,1004977.0
Short Int Prev Month,981196.0
Short Int Pct of Float,0.0510395
Days to Cover,3.92243
Float,19.69016
Shares Outstanding,20.0116
Institutions Holding Shares,214.0
FCF Growth 5yr,1.916667262394993
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.733
Operating Profit Margin (TTM),-0.025
Net Profit Margin (TTM),-0.09820000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-5.2828
EPS Growth (TTM),-1.9674
Revenue Growth (MRQ),-0.0345
Revenue Growth (TTM),0.0143
Return On Equity (TTM),-0.1303
Return On Assets (TTM),-0.0958
Return On Investment (TTM),-0.11480000000000001
Revenue Per Employee (TTM),426447.0
Total Debt/Total Capital (MRQ),0.0567
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.89
Interest Coverage (MRQ),-11.92
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-11-26 00:00:00
theStreet since,2022-02-28 00:00:00
ford since,2022-07-15 00:00:00
cfra since,
marketEdge opinion since,
