,OFIX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),0.74,9.8,Valuation,0.07551020408163264
Price/Book (MRQ),1.03,10.31,Valuation,0.09990300678952473
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.733,0.6196,Profitability,1.18302130406714
Operating Profit Margin (TTM),-0.025,0.047,Profitability,-0.5319148936170213
Net Profit Margin (TTM),-0.09820000000000001,0.009300000000000001,Profitability,-10.559139784946236
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-5.2828,-0.4858,Gowth rates,10.874433923425277
EPS Growth (TTM),-1.9674,-0.2029,Gowth rates,9.69640216855594
Revenue Growth (MRQ),-0.0345,0.1161,Gowth rates,-0.29715762273901813
Revenue Growth (TTM),0.0143,0.18300000000000002,Gowth rates,0.07814207650273224
Return On Equity (TTM),-0.1303,0.1068,Effectiveness,-1.2200374531835205
Return On Assets (TTM),-0.0958,0.0622,Effectiveness,-1.540192926045016
Return On Investment (TTM),-0.11480000000000001,0.0732,Effectiveness,-1.568306010928962
Revenue Per Employee (TTM),426447.0,403586.0,Effectiveness,1.0566446804398566
Total Debt/Total Capital (MRQ),0.0567,0.3161,Financial strength,0.1793736159443214
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0125,Financial strength,-0.008
Quick Ratio (MRQ),1.89,2.25,Financial strength,0.84
Interest Coverage (MRQ),-11.92,14.99,Financial strength,-0.7951967978652434
