,HTBI
% Above Low,0.1638
% Held by Institutions,0.5882000000000001
52-Wk Range,['21.55 - 32.60']
Annual Dividend $,0.4
Annual Dividend %,0.0159
Ask,26.0
Ask Size,2000.0
B/A Ratio,0.1
B/A Size,200x2000
Beta,0.6
Bid,24.5
Bid Size,200.0
Closing Price,25.08
Day Change $,-0.22
Day Change %,-0.0087
Day High,25.44
Day Low,25.08
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.19
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.23199999999999998
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,392.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.43
Prev Close,25.3
Short Interest,0.0063
Today's Open,25.39
Volume,20952.0
Volume 10-day Avg,36901.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.050724637681159424
Growth 2yr High Est,0.10810810810810811
Growth 2yr Consensus Est,0.07941637289463377
Growth 5yr Low Est,0.050724637681159424
Growth 5yr High Est,0.10810810810810811
Growth 5yr Consensus Est,0.07941637289463377
Growth 5yr Actual/Est,0.33890137309254964
Growth 3yr Historic,0.24027149321266975
Price/Earnings (TTM),11.43227
Price/Sales (TTM),2.54777
Price/Book (MRQ),0.98949
Price/Cash Flow (TTM),8.95807
5yr Low,11.75
5yr High,32.6
5yr Avg Return,0.026366666666666667
EPS Growth 5yr,0.2790482
Revenue Growth 5yr,0.0314975
Dividend Growth 5yr,
Short Int Current Month,87888.0
Short Int Prev Month,117014.0
Short Int Pct of Float,0.0062900000000000005
Days to Cover,1.81967
Float,13.98244
Shares Outstanding,15.62805
Institutions Holding Shares,140.0
FCF Growth 5yr,0.28456563462867496
"Price/Earnings (TTM, GAAP)",11.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2842
Net Profit Margin (TTM),0.2231
Annual Dividend Yield,0.0159
Dividend Change %,0.129
"Dividend Growth Rate, 3 Years",0.2481
EPS Growth (MRQ),0.5399
EPS Growth (TTM),0.7767000000000001
Revenue Growth (MRQ),0.19260000000000002
Revenue Growth (TTM),0.0438
Return On Equity (TTM),0.0858
Return On Assets (TTM),0.0098
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet since,2021-10-20 00:00:00
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
