,JBL
Price/Earnings (TTM),10.21233
Price/Sales (TTM),0.28405
Price/Book (MRQ),3.9045
Price/Cash Flow (TTM),4.9503
5yr Low,17.63
5yr High,72.11
5yr Avg Return,0.1990333333333333
EPS Growth 5yr,0.5826559
Revenue Growth 5yr,0.11921390000000001
Dividend Growth 5yr,0.0
Short Int Current Month,2463770.0
Short Int Prev Month,2799755.0
Short Int Pct of Float,0.0189388
Days to Cover,1.77941
Float,130.66
Shares Outstanding,134.6386
Institutions Holding Shares,596.0
% Held by Institutions,0.90018
FCF Growth 5yr,-0.5471239974073216
