,JBL
% Below High,0.020499999999999997
% Held by Institutions,0.9002
52-Wk Range,['48.80 - 72.11']
Annual Dividend $,0.32
Annual Dividend %,0.0045000000000000005
Ask,76.83
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.4
Bid,66.09
Bid Size,200.0
Closing Price,70.63
Day Change $,0.18
Day Change %,0.0026
Day High,70.84
Day Low,70.1
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",6.92
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.375
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,9.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.21
Prev Close,70.45
Short Interest,0.0189
Today's Open,70.17
Volume,264732.0
Volume 10-day Avg,1325440.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.09261744966442964
Growth 1yr High Est,0.10413885180240312
Growth 1yr Consensus Est,0.09837815073341638
Growth 2yr Low Est,0.06227924080273073
Growth 2yr High Est,0.09620485516359578
Growth 2yr Consensus Est,0.07924204798316326
Growth 5yr Low Est,0.16052374402027825
Growth 5yr High Est,0.1766365701090639
Growth 5yr Consensus Est,0.16858015706467108
Growth 5yr Actual/Est,0.358355105566059
Growth 3yr Historic,0.32452978056426335
Price/Earnings (TTM),10.21233
Price/Sales (TTM),0.28405
Price/Book (MRQ),3.9045
Price/Cash Flow (TTM),4.9503
5yr Low,17.63
5yr High,72.11
5yr Avg Return,0.1990333333333333
EPS Growth 5yr,0.5826559
Revenue Growth 5yr,0.11921390000000001
Dividend Growth 5yr,0.0
Short Int Current Month,2463770.0
Short Int Prev Month,2799755.0
Short Int Pct of Float,0.0189388
Days to Cover,1.77941
Float,130.66
Shares Outstanding,134.6386
Institutions Holding Shares,596.0
FCF Growth 5yr,-0.5471239974073216
"Price/Earnings (TTM, GAAP)",10.21
"PEG Ratio (TTM, GAAP)",0.98
Gross Profit Margin (TTM),0.0786
Operating Profit Margin (TTM),0.0415
Net Profit Margin (TTM),0.0298
Annual Dividend Yield,0.0045000000000000005
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.4769
EPS Growth (TTM),0.5097
Revenue Growth (MRQ),0.0843
Revenue Growth (TTM),0.1432
Return On Equity (TTM),0.4343
Return On Assets (TTM),0.05480000000000001
Return On Investment (TTM),0.16620000000000001
Revenue Per Employee (TTM),133912.0
Total Debt/Total Capital (MRQ),0.5656
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),9.93
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-09-25 00:00:00
researchTeam since,2020-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2016-09-22 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
