,PLUG
% Above Low,0.20750000000000002
% Held by Institutions,0.5719
52-Wk Range,['12.70 - 41.91']
Annual Dividend $,
Annual Dividend %,
Ask,15.34
Ask Size,1800.0
B/A Ratio,1.0
B/A Size,1800x1800
Beta,1.6
Bid,15.33
Bid Size,1800.0
Day Change $,-0.395
Day Change %,-0.025099999999999997
Day High,15.8
Day Low,15.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.2
Ex-dividend Date,No dividend
Historical Volatility,0.863
Last (size),100.0
Last (time),11:04a ET 11/28/22
Market Cap,8.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.73
Price,15.34
Short Interest,0.1406
Today's Open,15.55
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,1.9024390243902438
Growth 1yr High Est,-0.7142857142857142
Growth 1yr Consensus Est,0.5940766550522648
Growth 2yr Low Est,0.7957573273211723
Growth 2yr High Est,0.492857142857143
Growth 2yr Consensus Est,0.6443072350891577
Growth 5yr Low Est,0.39787866366058616
Growth 5yr High Est,0.2464285714285715
Growth 5yr Consensus Est,0.32215361754457883
Growth 5yr Actual/Est,0.6923564321272403
Growth 3yr Historic,0.7269690576652603
Price/Earnings (TTM),
Price/Sales (TTM),14.26864
Price/Book (MRQ),2.16295
Price/Cash Flow (TTM),
5yr Low,0.9892
5yr High,75.49
5yr Avg Return,1.6634166666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.4235508
Dividend Growth 5yr,
Short Int Current Month,73511020.0
Short Int Prev Month,72039036.0
Short Int Pct of Float,0.1406134
Days to Cover,3.6463
Float,522.9249
Shares Outstanding,582.9044
Institutions Holding Shares,857.0
FCF Growth 5yr,0.3286872381680623
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.3138
Operating Profit Margin (TTM),-1.0062
Net Profit Margin (TTM),-1.0791
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0146
EPS Growth (TTM),0.2845
Revenue Growth (MRQ),0.247
Revenue Growth (TTM),0.49090000000000006
Return On Equity (TTM),-0.1553
Return On Assets (TTM),-0.11960000000000001
Return On Investment (TTM),-0.1293
Revenue Per Employee (TTM),262394.0
Total Debt/Total Capital (MRQ),0.12560000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),5.23
Interest Coverage (MRQ),-39.04
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-16 00:00:00
theStreet since,2022-10-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-03-24 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
