,MTZ
Price/Earnings (TTM),63.3351
Price/Sales (TTM),0.82821
Price/Book (MRQ),2.69861
Price/Cash Flow (TTM),12.73602
5yr Low,22.51
5yr High,122.33
5yr Avg Return,0.1596
EPS Growth 5yr,0.2249189
Revenue Growth 5yr,0.0914147
Dividend Growth 5yr,
Short Int Current Month,2077620.0
Short Int Prev Month,2777411.0
Short Int Pct of Float,0.034745
Days to Cover,1.86457
Float,59.79832
Shares Outstanding,78.23426
Institutions Holding Shares,459.0
% Held by Institutions,0.7602979999999999
FCF Growth 5yr,-2.086027669494764
