,MTZ
% Below High,0.08839999999999999
% Held by Institutions,0.7603
52-Wk Range,['62.36 - 99.63']
Annual Dividend $,
Annual Dividend %,
Ask,98.84
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,87.26
Bid Size,200.0
Closing Price,90.82
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.43
Ex-dividend Date,No dividend
Historical Volatility,0.444
Last (size),239.0
Last (time),5:00p ET 11/25/22
Market Cap,7.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",63.34
Prev Close,90.82
Short Interest,0.0347
Today's Open,
Volume,244516.0
Volume 10-day Avg,586508.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.4454713493530499
Growth 1yr High Est,-0.4347048300536672
Growth 1yr Consensus Est,-0.44008808970335855
Growth 2yr Low Est,0.03559765865680836
Growth 2yr High Est,0.17663492674531828
Growth 2yr Consensus Est,0.10611629270106332
Growth 5yr Low Est,0.030790358460687256
Growth 5yr High Est,0.10717788473073794
Growth 5yr Consensus Est,0.0689841215957126
Growth 5yr Actual/Est,0.07861490199014193
Growth 3yr Historic,0.018195664667149974
Price/Earnings (TTM),63.3351
Price/Sales (TTM),0.82821
Price/Book (MRQ),2.69861
Price/Cash Flow (TTM),12.73602
5yr Low,22.51
5yr High,122.33
5yr Avg Return,0.1596
EPS Growth 5yr,0.2249189
Revenue Growth 5yr,0.0914147
Dividend Growth 5yr,
Short Int Current Month,2077620.0
Short Int Prev Month,2777411.0
Short Int Pct of Float,0.034745
Days to Cover,1.86457
Float,59.79832
Shares Outstanding,78.23426
Institutions Holding Shares,459.0
FCF Growth 5yr,-2.086027669494764
"Price/Earnings (TTM, GAAP)",63.34
"PEG Ratio (TTM, GAAP)",14.16
Gross Profit Margin (TTM),0.12480000000000001
Operating Profit Margin (TTM),0.0197
Net Profit Margin (TTM),0.0125
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.0347
EPS Growth (TTM),-0.7103
Revenue Growth (MRQ),0.092
Revenue Growth (TTM),0.1028
Return On Equity (TTM),0.0443
Return On Assets (TTM),0.0159
Return On Investment (TTM),0.021800000000000003
Revenue Per Employee (TTM),317742.0
Total Debt/Total Capital (MRQ),0.4662
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),1.5
Interest Coverage (MRQ),5.58
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-05-17 00:00:00
ford since,2021-12-23 00:00:00
cfra since,
marketEdge opinion since,
