,MTZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",63.34,41.93,Valuation,1.5106129263057477
Price/Sales (TTM),0.83,1.42,Valuation,0.5845070422535211
Price/Book (MRQ),2.7,3.73,Valuation,0.7238605898123325
"PEG Ratio (TTM, GAAP)",14.16,0.71,Valuation,19.943661971830988
Gross Profit Margin (TTM),0.12480000000000001,0.0432,Profitability,2.888888888888889
Operating Profit Margin (TTM),0.0197,0.0655,Profitability,0.3007633587786259
Net Profit Margin (TTM),0.0125,0.041299999999999996,Profitability,0.30266343825665865
Annual Dividend Yield,,0.0045000000000000005,Dividend,
Dividend Change %,,0.127,Dividend,
"Dividend Growth Rate, 3 Years",,0.0315,Dividend,
EPS Growth (MRQ),2.0347,0.0989,Gowth rates,20.573306370070778
EPS Growth (TTM),-0.7103,0.5874,Gowth rates,-1.2092271024855294
Revenue Growth (MRQ),0.092,0.233,Gowth rates,0.3948497854077253
Revenue Growth (TTM),0.1028,0.2229,Gowth rates,0.46119336025123375
Return On Equity (TTM),0.0443,0.1057,Effectiveness,0.4191106906338694
Return On Assets (TTM),0.0159,0.0404,Effectiveness,0.3935643564356436
Return On Investment (TTM),0.021800000000000003,0.0584,Effectiveness,0.37328767123287676
Revenue Per Employee (TTM),317742.0,447825.0,Effectiveness,0.7095226930162452
Total Debt/Total Capital (MRQ),0.4662,0.40990000000000004,Financial strength,1.1373505733105636
Change in Debt/Total Capital Quarter over Quarter,0.0019,0.004,Financial strength,0.475
Quick Ratio (MRQ),1.5,1.07,Financial strength,1.4018691588785046
Interest Coverage (MRQ),5.58,12.43,Financial strength,0.44891391794046664
