,DUOL
% Above Low,0.1519
% Held by Institutions,0.8029000000000001
52-Wk Range,['60.50 - 124.90']
Annual Dividend $,
Annual Dividend %,
Ask,70.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,67.0
Bid Size,100.0
Closing Price,69.69
Day Change $,1.11
Day Change %,0.016200000000000003
Day High,69.99
Day Low,67.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.62
Ex-dividend Date,No dividend
Historical Volatility,0.799
Last (size),12.0
Last (time),12:59p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,68.58
Short Interest,0.0643
Today's Open,67.92
Volume,222507.0
Volume 10-day Avg,494582.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.608786610878661
Growth 1yr High Est,0.07692307692307687
Growth 1yr Consensus Est,-0.2659317669777921
Growth 2yr Low Est,-0.3070671022307744
Growth 2yr High Est,-0.040109890109890134
Growth 2yr Consensus Est,-0.17358849617033226
Growth 5yr Low Est,-0.3070671022307744
Growth 5yr High Est,-0.040109890109890134
Growth 5yr Consensus Est,-0.17358849617033226
Growth 5yr Actual/Est,-0.22741924343241315
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),8.26558
Price/Book (MRQ),5.23315
Price/Cash Flow (TTM),
5yr Low,60.5
5yr High,205.0
5yr Avg Return,-0.2973
Short Int Current Month,1845116.0
Short Int Prev Month,1898782.0
Short Int Pct of Float,0.06428410000000001
Days to Cover,4.71922
Float,30.18536
Shares Outstanding,40.16974
Institutions Holding Shares,227.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7295
Operating Profit Margin (TTM),-0.19030000000000002
Net Profit Margin (TTM),-0.1865
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.21120000000000003
EPS Growth (TTM),0.0165
Revenue Growth (MRQ),0.08689999999999999
Revenue Growth (TTM),0.49840000000000007
Return On Equity (TTM),-0.12090000000000001
Return On Assets (TTM),-0.0949
Return On Investment (TTM),-0.1173
Revenue Per Employee (TTM),677370.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-30 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
theStreet since,2022-08-30 00:00:00
newConstructs since,
marketEdge opinion since,
