,DUOL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-674.43,Valuation,
Price/Sales (TTM),8.27,3.81,Valuation,2.1706036745406823
Price/Book (MRQ),5.23,2.94,Valuation,1.7789115646258504
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.7295,0.30350000000000005,Profitability,2.403624382207578
Operating Profit Margin (TTM),-0.19030000000000002,0.047,Profitability,-4.048936170212767
Net Profit Margin (TTM),-0.1865,0.024900000000000002,Profitability,-7.489959839357429
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-0.21120000000000003,-8.9082,Gowth rates,0.023708493298309423
EPS Growth (TTM),0.0165,1.3234000000000001,Gowth rates,0.012467885748828773
Revenue Growth (MRQ),0.08689999999999999,0.0315,Gowth rates,2.7587301587301583
Revenue Growth (TTM),0.49840000000000007,0.1202,Gowth rates,4.146422628951748
Return On Equity (TTM),-0.12090000000000001,0.0073,Effectiveness,-16.56164383561644
Return On Assets (TTM),-0.0949,-0.0022,Effectiveness,43.13636363636363
Return On Investment (TTM),-0.1173,0.005699999999999999,Effectiveness,-20.578947368421055
Revenue Per Employee (TTM),677370.0,227358.0,Effectiveness,2.9793101628269074
Total Debt/Total Capital (MRQ),0.0,0.5721,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.001,Financial strength,
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),,2.57,Financial strength,
