,UIS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),0.15,19.35,Valuation,0.007751937984496123
Price/Book (MRQ),,19.03,Valuation,
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.2566,0.44520000000000004,Profitability,0.5763701707097932
Operating Profit Margin (TTM),0.023799999999999998,0.3027,Profitability,0.07862570201519656
Net Profit Margin (TTM),-0.125,0.23600000000000002,Profitability,-0.5296610169491525
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-1.3418,-3.5569,Gowth rates,0.37723860665185976
EPS Growth (TTM),0.5199,0.15560000000000002,Gowth rates,3.3412596401028276
Revenue Growth (MRQ),-0.1045,0.16460000000000002,Gowth rates,-0.634872417982989
Revenue Growth (TTM),-0.062000000000000006,0.2273,Gowth rates,-0.27276726792784867
Return On Equity (TTM),,0.5459,Effectiveness,
Return On Assets (TTM),-0.11199999999999999,0.1131,Effectiveness,-0.9902740937223694
Return On Investment (TTM),-0.16440000000000002,0.18910000000000002,Effectiveness,-0.8693812797461661
Revenue Per Employee (TTM),120380.0,686074.0,Effectiveness,0.1754621221617493
Total Debt/Total Capital (MRQ),1.3555000000000001,0.5613,Financial strength,2.414929627650098
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0048,Financial strength,0.1875
Quick Ratio (MRQ),1.35,0.16,Financial strength,8.4375
Interest Coverage (MRQ),-0.58,27.21,Financial strength,-0.021315692760014698
