,UIS
% Above Low,0.0074
% Held by Institutions,0.992
52-Wk Range,['4.05 - 23.10']
Annual Dividend $,
Annual Dividend %,
Ask,4.08
Ask Size,1900.0
B/A Ratio,0.21052631578947367
B/A Size,400x1900
Beta,0.8
Bid,4.05
Bid Size,400.0
Closing Price,4.08
Day Change $,-0.19
Day Change %,-0.044500000000000005
Day High,4.32
Day Low,4.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.65
Ex-dividend Date,No dividend
Historical Volatility,0.845
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,277.3M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.27
Short Interest,0.0451
Today's Open,4.25
Volume,1065253.0
Volume 10-day Avg,983032.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.7777777777777778
Growth 1yr High Est,-0.6872246696035242
Growth 1yr Consensus Est,-0.732501223690651
Growth 2yr Low Est,-1.0788888888888888
Growth 2yr High Est,-0.6464292362102129
Growth 2yr Consensus Est,-0.8626590625495508
Growth 5yr Low Est,-0.5394444444444444
Growth 5yr High Est,-0.32321461810510643
Growth 5yr Consensus Est,-0.4313295312747754
Growth 5yr Actual/Est,-0.3591155089314268
Growth 3yr Historic,0.02270047169811315
Price/Earnings (TTM),
Price/Sales (TTM),0.14751
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,4.22
5yr High,28.6
5yr Avg Return,0.058583333333333314
EPS Growth 5yr,
Revenue Growth 5yr,-0.0614323
Dividend Growth 5yr,
Short Int Current Month,2964033.0
Short Int Prev Month,2671796.0
Short Int Pct of Float,0.045063399999999997
Days to Cover,2.22515
Float,65.83987
Shares Outstanding,67.78755
Institutions Holding Shares,242.0
FCF Growth 5yr,-0.5574290589357874
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2566
Operating Profit Margin (TTM),0.023799999999999998
Net Profit Margin (TTM),-0.125
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.3418
EPS Growth (TTM),0.5199
Revenue Growth (MRQ),-0.1045
Revenue Growth (TTM),-0.062000000000000006
Return On Equity (TTM),
Return On Assets (TTM),-0.11199999999999999
Return On Investment (TTM),-0.16440000000000002
Revenue Per Employee (TTM),120380.0
Total Debt/Total Capital (MRQ),1.3555000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),-0.58
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2009-04-29 00:00:00
theStreet since,2009-07-19 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
