,LII
% Below High,0.2011
% Held by Institutions,0.6951
52-Wk Range,['182.85 - 334.78']
Annual Dividend $,4.24
Annual Dividend %,0.0159
Ask,268.2
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,267.44
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-15 00:00:00
"EPS (TTM, GAAP)",13.51
Ex-dividend,2022-08-30 00:00:00
Ex-dividend Date,08/30/22
Historical Volatility,0.358
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,9.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.79
Prev Close,267.44
Short Interest,0.043
Today's Open,
Volume,51195.0
Volume 10-day Avg,288024.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.15416666666666656
Growth 1yr High Est,0.14470493128536788
Growth 1yr Consensus Est,0.14943579897601722
Growth 2yr Low Est,0.036650120336943426
Growth 2yr High Est,0.12284681592516977
Growth 2yr Consensus Est,0.0797484681310566
Growth 5yr Low Est,0.04557360218850007
Growth 5yr High Est,0.09389988296416676
Growth 5yr Consensus Est,0.06973674257633342
Growth 5yr Actual/Est,0.08179113098117743
Growth 3yr Historic,0.03897468816473462
Price/Earnings (TTM),19.78977
Price/Sales (TTM),2.06514
Price/Book (MRQ),
Price/Cash Flow (TTM),16.87933
5yr Low,163.4
5yr High,356.36
5yr Avg Return,0.05633333333333334
EPS Growth 5yr,0.1433827
Revenue Growth 5yr,0.028654000000000002
Dividend Growth 5yr,0.1642819
Short Int Current Month,1367077.0
Short Int Prev Month,1480318.0
Short Int Pct of Float,0.0429667
Days to Cover,4.15735
Float,31.81786
Shares Outstanding,35.43876
Institutions Holding Shares,594.0
FCF Growth 5yr,-1.6873050144157882
"Price/Earnings (TTM, GAAP)",19.79
"PEG Ratio (TTM, GAAP)",1.61
Gross Profit Margin (TTM),0.273
Operating Profit Margin (TTM),0.1355
Net Profit Margin (TTM),0.1059
Annual Dividend Yield,0.0159
Dividend Change %,0.1461
"Dividend Growth Rate, 3 Years",0.1325
EPS Growth (MRQ),-0.19469999999999998
EPS Growth (TTM),0.0369
Revenue Growth (MRQ),-0.0889
Revenue Growth (TTM),0.1076
Return On Equity (TTM),
Return On Assets (TTM),0.2047
Return On Investment (TTM),0.3579
Revenue Per Employee (TTM),417218.0
Total Debt/Total Capital (MRQ),1.2348999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),21.15
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-02-01 00:00:00
theStreet since,2022-02-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-01 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
