,LII,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.79,13.91,Valuation,1.4227174694464413
Price/Sales (TTM),2.07,1.88,Valuation,1.101063829787234
Price/Book (MRQ),,3.87,Valuation,
"PEG Ratio (TTM, GAAP)",1.61,0.02,Valuation,80.5
Gross Profit Margin (TTM),0.273,0.31260000000000004,Profitability,0.873320537428023
Operating Profit Margin (TTM),0.1355,0.1429,Profitability,0.9482155353393983
Net Profit Margin (TTM),0.1059,0.1072,Profitability,0.9878731343283581
Annual Dividend Yield,0.0159,0.0134,Dividend,1.1865671641791045
Dividend Change %,0.1461,0.2683,Dividend,0.5445396943719717
"Dividend Growth Rate, 3 Years",0.1325,0.0895,Dividend,1.4804469273743017
EPS Growth (MRQ),-0.19469999999999998,0.5653,Gowth rates,-0.34441889262338576
EPS Growth (TTM),0.0369,7.5147,Gowth rates,0.00491037566369915
Revenue Growth (MRQ),-0.0889,0.1259,Gowth rates,-0.7061159650516282
Revenue Growth (TTM),0.1076,0.20510000000000003,Gowth rates,0.5246221355436371
Return On Equity (TTM),,0.254,Effectiveness,
Return On Assets (TTM),0.2047,0.0326,Effectiveness,6.279141104294479
Return On Investment (TTM),0.3579,0.1543,Effectiveness,2.31950745301361
Revenue Per Employee (TTM),417218.0,403228.0,Effectiveness,1.0346950112591387
Total Debt/Total Capital (MRQ),1.2348999999999999,0.4794,Financial strength,2.5759282436378803
Change in Debt/Total Capital Quarter over Quarter,0.0031,0.0029,Financial strength,1.0689655172413794
Quick Ratio (MRQ),0.91,1.11,Financial strength,0.8198198198198198
Interest Coverage (MRQ),21.15,10.87,Financial strength,1.9457221711131554
