,SMRT
% Above Low,0.0866
% Held by Institutions,0.4508
52-Wk Range,['2.20 - 11.94']
Annual Dividend $,
Annual Dividend %,
Ask,2.39
Ask Size,2800.0
B/A Ratio,0.6428571428571429
B/A Size,1800x2800
Beta,
Bid,2.38
Bid Size,1800.0
Day Change $,-0.105
Day Change %,-0.042199999999999994
Day High,2.49
Day Low,2.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.52
Ex-dividend Date,No dividend
Historical Volatility,0.891
Last (size),100.0
Last (time),2:41p ET 11/28/22
Market Cap,473.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.49
Price,2.39
Short Interest,0.0684
Today's Open,2.47
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.31999999999999995
Growth 2yr High Est,-0.8043478260869565
Growth 2yr Consensus Est,-0.5621739130434782
Growth 5yr Low Est,-0.31999999999999995
Growth 5yr High Est,-0.8043478260869565
Growth 5yr Consensus Est,-0.5621739130434782
Growth 5yr Actual/Est,-0.5104166666666666
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.04986
Price/Book (MRQ),1.29277
Price/Cash Flow (TTM),
5yr Low,2.2
5yr High,15.14
5yr Avg Return,-0.44839999999999997
Short Int Current Month,9755061.0
Short Int Prev Month,10781293.0
Short Int Pct of Float,0.0683586
Days to Cover,7.96731
Float,143.1803
Shares Outstanding,198.3485
Institutions Holding Shares,139.0
FCF Growth 5yr,0.304737846853207
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.0354
Operating Profit Margin (TTM),-0.6662
Net Profit Margin (TTM),-0.623
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.01
EPS Growth (TTM),
Revenue Growth (MRQ),0.1201
Revenue Growth (TTM),
Return On Equity (TTM),-0.23620000000000002
Return On Assets (TTM),-0.1779
Return On Investment (TTM),-0.207
Revenue Per Employee (TTM),253424.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),3.09
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
