,AORT
% Above Low,0.3506
% Held by Institutions,0.8783
52-Wk Range,['9.64 - 23.43']
Annual Dividend $,
Annual Dividend %,
Ask,13.8
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,1.4
Bid,5.18
Bid Size,200.0
Closing Price,13.02
Day Change $,0.13
Day Change %,0.0101
Day High,13.09
Day Low,12.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,0.5820000000000001
Last (size),18.0
Last (time),5:00p ET 11/25/22
Market Cap,525.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.89
Short Interest,0.09539999999999998
Today's Open,12.68
Volume,52422.0
Volume 10-day Avg,212274.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3291139240506329
Growth 2yr High Est,-0.711864406779661
Growth 2yr Consensus Est,-0.5204891654151469
Growth 5yr Low Est,-0.3291139240506329
Growth 5yr High Est,-0.711864406779661
Growth 5yr Consensus Est,-0.5204891654151469
Growth 5yr Actual/Est,-0.6267523280341616
Growth 3yr Historic,-0.6783870967741935
Price/Earnings (TTM),
Price/Sales (TTM),1.67341
Price/Book (MRQ),2.05828
Price/Cash Flow (TTM),
5yr Low,9.64
5yr High,36.05
5yr Avg Return,-0.03513333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1062389
Dividend Growth 5yr,
Short Int Current Month,3519259.0
Short Int Prev Month,3675881.0
Short Int Pct of Float,0.09540290000000001
Days to Cover,11.06804
Float,37.2313
Shares Outstanding,40.32948
Institutions Holding Shares,205.0
FCF Growth 5yr,0.9176281459847275
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.647
Operating Profit Margin (TTM),-0.024700000000000003
Net Profit Margin (TTM),-0.13210000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.2124
EPS Growth (TTM),-49.1745
Revenue Growth (MRQ),-0.04360000000000001
Revenue Growth (TTM),0.092
Return On Equity (TTM),-0.14550000000000002
Return On Assets (TTM),-0.053099999999999994
Return On Investment (TTM),-0.057
Revenue Per Employee (TTM),241373.0
Total Debt/Total Capital (MRQ),0.5499
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),3.59
Interest Coverage (MRQ),-0.68
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-07-12 00:00:00
ford since,2022-05-13 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-02-22 00:00:00
marketEdge opinion since,
