,IBCP
% Below High,0.0527
% Held by Institutions,0.7861
52-Wk Range,['17.87 - 26.00']
Annual Dividend $,0.88
Annual Dividend %,0.035699999999999996
Ask,39.34
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,9.84
Bid Size,200.0
Closing Price,24.63
Day Change $,0.15
Day Change %,0.0060999999999999995
Day High,24.68
Day Low,24.45
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",2.85
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.263
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,518.8M
"P/E Ratio (TTM, GAAP)",8.65
Prev Close,24.48
Short Interest,0.022000000000000002
Today's Open,24.61
Volume,73701.0
Volume 10-day Avg,84270.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.0034364261168384758
Growth 1yr High Est,0.00996677740863805
Growth 1yr Consensus Est,0.006701601762738263
Growth 2yr Low Est,-0.0428023348867862
Growth 2yr High Est,-0.00981924287462832
Growth 2yr Consensus Est,-0.02631078888070726
Growth 5yr Low Est,0.10948888491262787
Growth 5yr High Est,0.11761513103793336
Growth 5yr Consensus Est,0.11355200797528062
Growth 5yr Actual/Est,0.09375164690382085
Growth 3yr Historic,0.10083498023715415
Price/Earnings (TTM),8.65006
Price/Sales (TTM),2.48087
Price/Book (MRQ),1.56122
Price/Cash Flow (TTM),7.20934
5yr Low,9.19
5yr High,27.1
5yr Avg Return,0.02521666666666667
EPS Growth 5yr,0.22446629999999998
Revenue Growth 5yr,0.0979937
Dividend Growth 5yr,0.1982849
Short Int Current Month,442100.0
Short Int Prev Month,423948.0
Short Int Pct of Float,0.0219715
Days to Cover,5.5863
Float,20.1382
Shares Outstanding,21.06514
Institutions Holding Shares,177.0
FCF Growth 5yr,0.16410077185939254
"Price/Earnings (TTM, GAAP)",8.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.35700000000000004
Net Profit Margin (TTM),0.29059999999999997
Annual Dividend Yield,0.0357
Dividend Change %,0.05
"Dividend Growth Rate, 3 Years",0.1187
EPS Growth (MRQ),0.33130000000000004
EPS Growth (TTM),-0.0712
Revenue Growth (MRQ),0.171
Revenue Growth (TTM),0.1233
Return On Equity (TTM),0.166
Return On Assets (TTM),0.012700000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2020-11-10 00:00:00
researchTeam since,2022-04-29 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
