,IBCP
Price/Earnings (TTM),8.65006
Price/Sales (TTM),2.48087
Price/Book (MRQ),1.56122
Price/Cash Flow (TTM),7.20934
5yr Low,9.19
5yr High,27.1
5yr Avg Return,0.02521666666666667
EPS Growth 5yr,0.22446629999999998
Revenue Growth 5yr,0.0979937
Dividend Growth 5yr,0.1982849
Short Int Current Month,442100.0
Short Int Prev Month,423948.0
Short Int Pct of Float,0.0219715
Days to Cover,5.5863
Float,20.1382
Shares Outstanding,21.06514
Institutions Holding Shares,177.0
% Held by Institutions,0.786134
FCF Growth 5yr,0.16410077185939254
