,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.48,13.92,13.78,8.24,,,,,
low,9.9,7.89,6.94,1.95,,,,,
change,0.050499999999999996,0.20829999999999999,-0.3933,-0.6887000000000001,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,165.0,124.0,116.0,96.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,814.0,791.0,821.0,847.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-16.0,-15.0,-17.0,-14.0,Balance Sheet
"Total Receivables, Net",,,,,798.0,777.0,805.0,833.0,Balance Sheet
Prepaid Expenses,,,,,126.0,190.0,156.0,155.0,Balance Sheet
"Other Curr. Assets, Total",,,,,16.0,17.0,18.0,18.0,Balance Sheet
Total Current Assets,,,,,1104.0,1107.0,1095.0,1103.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,64.0,67.0,68.0,69.0,Balance Sheet
"Goodwill, Net",,,,,2206.0,2204.0,2247.0,2246.0,Balance Sheet
Intangibles - Gross,,,,,4118.0,3536.0,3546.0,3541.0,Balance Sheet
Accum. Intangible Amort.,,,,,-1830.0,-1299.0,-1345.0,-1391.0,Balance Sheet
Intangibles - Net,,,,,2288.0,2237.0,2201.0,2150.0,Balance Sheet
Long Term Investments,,,,,125.0,127.0,125.0,125.0,Balance Sheet
Other Long Term Assets,,,,,68.0,97.0,108.0,121.0,Balance Sheet
Total Assets,,,,,5854.0,5839.0,5845.0,5814.0,Balance Sheet
Accounts Payable,,,,,277.0,220.0,251.0,268.0,Balance Sheet
Accrued Expenses,,,,,303.0,317.0,269.0,271.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,14.0,15.0,60.0,15.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,50.0,53.0,49.0,47.0,Balance Sheet
Total Current Liabilities,,,,,646.0,605.0,628.0,601.0,Balance Sheet
Total Long Term Debt,,,,,2029.0,2028.0,2026.0,2025.0,Balance Sheet
Total Debt,,,,,2043.0,2043.0,2086.0,2039.0,Balance Sheet
Deferred Income Tax,,,,,483.0,490.0,474.0,457.0,Balance Sheet
Minority Interest,,,,,99.0,95.0,92.0,95.0,Balance Sheet
"Other Liabilities, Total",,,,,114.0,112.0,114.0,110.0,Balance Sheet
Total Liabilities,,,,,3371.0,3329.0,3334.0,3287.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,3373.0,3379.0,3391.0,3398.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-867.0,-848.0,-844.0,-823.0,Balance Sheet
Treasury Stock - Common,,,,,-13.0,-13.0,-13.0,-13.0,Balance Sheet
Other Equity,,,,,-6.0,-6.0,-6.0,-6.0,Balance Sheet
Other Comprehensive Income,,,,,-4.0,-3.0,-16.0,-30.0,Balance Sheet
"Other Equity, Total",,,,,-11.0,-9.0,-23.0,-36.0,Balance Sheet
Total Equity,,,,,2483.0,2510.0,2511.0,2526.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,5854.0,5839.0,5845.0,5814.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,315.0,317.0,317.0,318.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,1033.0,915.0,981.0,1051.0,Income Statement
"Cost of Revenue, Total",,,,,846.0,786.0,842.0,909.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,43.0,48.0,53.0,38.0,Income Statement
Depreciation/Amortization,,,,,59.0,58.0,58.0,58.0,Income Statement
Total Operating Expense,,,,,948.0,892.0,953.0,1004.0,Income Statement
Total Operating Income,,,,,84.0,23.0,28.0,47.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-33.0,-12.0,-28.0,-24.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,-6.0,15.0,5.0,1.0,Income Statement
Income Before Tax,,,,,45.0,27.0,5.0,24.0,Income Statement
Income Tax - Total,,,,,17.0,9.0,1.0,1.0,Income Statement
Income After Tax,,,,,28.0,18.0,4.0,23.0,Income Statement
Minority Interest,,,,,-3.0,1.0,0.0,-2.0,Income Statement
Net Inc Before Extra Items,,,,,25.0,19.0,3.0,21.0,Income Statement
Total Net Income,,,,,25.0,19.0,3.0,21.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,25.0,19.0,3.0,21.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,25.0,19.0,3.0,21.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,318.0,318.0,318.0,319.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.08,0.06,0.01,0.07,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.08,0.06,0.01,0.07,Income Statement
Diluted Weighted Average Shares,,,,,325.0,319.0,319.0,320.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.08,0.06,0.01,0.07,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.08,0.06,0.01,0.07,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,33.0,12.0,28.0,24.0,Income Statement
"Depreciat/Amort, Suppl",,,,,8.0,7.0,8.0,8.0,Income Statement
Total Special Items,,,,,10.0,13.0,8.0,10.0,Income Statement
Normalzd Income Before Tax,,,,,55.0,39.0,13.0,34.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,-64.0,4.0,2.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,-47.0,13.0,3.0,2.0,Income Statement
Normalized Income After Tax,,,,,103.0,26.0,9.0,33.0,Income Statement
Normalzd Inc Avail to Common,,,,,100.0,27.0,9.0,31.0,Income Statement
Basic Normalized EPS,,,,,0.31,0.09,0.03,0.1,Income Statement
Diluted Normalized EPS,,,,,0.31,0.09,0.03,0.1,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,57549.0,17534.0,21210.0,44437.0,Cash Flow
Depreciation/Depletion,,,,,240041.0,57768.0,116212.0,173997.0,Cash Flow
Deferred Taxes,,,,,-10012.0,7235.0,-11648.0,-28561.0,Cash Flow
Discontinued Operations,,,,,,2850.0,2850.0,2953.0,Cash Flow
Unusual Items,,,,,9686.0,-15442.0,-20356.0,-20848.0,Cash Flow
Equity in Net Earnings/Loss,,,,,-10298.0,-4181.0,-4687.0,-6480.0,Cash Flow
Other Non-Cash Items,,,,,32545.0,-11594.0,1213.0,-4868.0,Cash Flow
Non-Cash Items,,,,,31933.0,-28367.0,-20980.0,-29243.0,Cash Flow
Accounts Receivable,,,,,-215501.0,18931.0,-11053.0,-45383.0,Cash Flow
Prepaid Expenses,,,,,-14000.0,-69356.0,-42580.0,-45087.0,Cash Flow
Accounts Payable,,,,,46000.0,-56898.0,-26485.0,-7914.0,Cash Flow
Accrued Expenses,,,,,-7325.0,26752.0,5855.0,19860.0,Cash Flow
Changes in Working Capital,,,,,-193520.0,-78125.0,-74802.0,-78680.0,Cash Flow
Total Cash from Operations,,,,,125991.0,-23955.0,29992.0,81950.0,Cash Flow
Capital Expenditures,,,,,-31175.0,-10439.0,-21533.0,-30037.0,Cash Flow
Acquisition of Business,,,,,-42668.0,-1800.0,-67611.0,-74146.0,Cash Flow
Sale of Business,,,,,0.0,,,1896.0,Cash Flow
Purchase of Investments,,,,,-2000.0,,,-775.0,Cash Flow
Other Investing Cash Flow,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-44668.0,-1800.0,-67611.0,-73025.0,Cash Flow
Total Cash from Investing,,,,,-75843.0,-12239.0,-89144.0,-103062.0,Cash Flow
Financing Cash Flow Items,,,,,-11111.0,-715.0,-21597.0,-26728.0,Cash Flow
Sale/Issuance of Common,,,,,794.0,1653.0,1653.0,3320.0,Cash Flow
Repurch/Retirement Common,,,,,-12567.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,-11773.0,1653.0,1653.0,3320.0,Cash Flow
Short Term Debt Reduction,,,,,-111736.0,-8967.0,-22034.0,-139684.0,Cash Flow
