,ADV
% Above Low,0.2853
% Held by Institutions,0.2646
52-Wk Range,['1.95 - 8.24']
Annual Dividend $,
Annual Dividend %,
Ask,3.09
Ask Size,43000.0
B/A Ratio,0.002325581395348837
B/A Size,100x43000
Beta,
Bid,2.0
Bid Size,100.0
Closing Price,2.5
Day Change $,0.03
Day Change %,0.0121
Day High,2.51
Day Low,2.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.21
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,799.2M
"P/E Ratio (TTM, GAAP)",11.72
Prev Close,2.47
Short Interest,0.054000000000000006
Today's Open,2.48
Volume,112418.0
Volume 10-day Avg,673788.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.16393442622950816
Growth 2yr High Est,0.048387096774193505
Growth 2yr Consensus Est,-0.057773664727657326
Growth 5yr Low Est,-0.16393442622950816
Growth 5yr High Est,0.048387096774193505
Growth 5yr Consensus Est,-0.057773664727657326
Growth 5yr Actual/Est,-0.11349555415928869
Growth 3yr Historic,-0.04878048780487806
Price/Earnings (TTM),11.71564
Price/Sales (TTM),0.20083
Price/Book (MRQ),0.31474
Price/Cash Flow (TTM),2.62003
5yr Low,1.95
5yr High,13.92
5yr Avg Return,-0.2058
Short Int Current Month,4275916.0
Short Int Prev Month,4806674.0
Short Int Pct of Float,0.053977899999999995
Days to Cover,6.10322
Float,97.55605
Shares Outstanding,319.6844
Institutions Holding Shares,158.0
FCF Growth 5yr,0.8427750289900807
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.72
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.15
Operating Profit Margin (TTM),0.045899999999999996
Net Profit Margin (TTM),0.0182
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),5.2377
EPS Growth (TTM),1.6168
Revenue Growth (MRQ),0.0714
Revenue Growth (TTM),0.1636
Return On Equity (TTM),0.0275
Return On Assets (TTM),0.0124
Return On Investment (TTM),0.0141
Revenue Per Employee (TTM),198977.0
Total Debt/Total Capital (MRQ),0.4376
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.54
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-28 00:00:00
ford since,2022-03-04 00:00:00
cfra since,
theStreet since,2022-03-28 00:00:00
newConstructs since,
marketEdge opinion since,
