,PRLB
% Above Low,0.13390000000000002
% Held by Institutions,0.8684000000000001
52-Wk Range,['22.04 - 61.14']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.2
Bid,24.93
Bid Size,300.0
Day Change $,-0.7186
Day Change %,-0.027999999999999997
Day High,25.55
Day Low,24.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.85
Ex-dividend Date,No dividend
Historical Volatility,0.584
Last (size),150.0
Last (time),11:34a ET 11/28/22
Market Cap,676.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.11
Prev Close,25.71
Price,24.99
Short Interest,0.0378
Today's Open,25.19
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.38888888888888884
Growth 1yr High Est,-0.38075313807531386
Growth 1yr Consensus Est,-0.38482101348210135
Growth 2yr Low Est,-0.34479409479409473
Growth 2yr High Est,-0.16672792038900824
Growth 2yr Consensus Est,-0.2557610075915515
Growth 5yr Low Est,-0.20164233041591528
Growth 5yr High Est,-0.11920625410131416
Growth 5yr Consensus Est,-0.16042429225861474
Growth 5yr Actual/Est,-0.19218872088468253
Growth 3yr Historic,-0.1243355506955835
Price/Earnings (TTM),30.10821
Price/Sales (TTM),1.40454
Price/Book (MRQ),0.86647
Price/Cash Flow (TTM),10.93591
5yr Low,22.04
5yr High,286.57
5yr Avg Return,-0.10066666666666667
EPS Growth 5yr,-0.0557458
Revenue Growth 5yr,0.1036773
Dividend Growth 5yr,
Short Int Current Month,1016181.0
Short Int Prev Month,942318.0
Short Int Pct of Float,0.0377971
Days to Cover,1.99013
Float,26.91617
Shares Outstanding,27.11689
Institutions Holding Shares,282.0
FCF Growth 5yr,0.2682489713262728
"Price/Earnings (TTM, GAAP)",30.11
"PEG Ratio (TTM, GAAP)",1.2
Gross Profit Margin (TTM),0.44780000000000003
Operating Profit Margin (TTM),0.0649
Net Profit Margin (TTM),0.047400000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5467000000000001
EPS Growth (TTM),-0.2434
Revenue Growth (MRQ),-0.0408
Revenue Growth (TTM),0.0567
Return On Equity (TTM),0.0288
Return On Assets (TTM),0.0256
Return On Investment (TTM),0.0273
Revenue Per Employee (TTM),186396.0
Total Debt/Total Capital (MRQ),0.0018
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),2.93
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-02-18 00:00:00
theStreet since,2021-02-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
