,FOLD
% Below High,0.1134
% Held by Institutions,1.0022
52-Wk Range,['5.91 - 12.96']
Annual Dividend $,
Annual Dividend %,
Ask,11.5
Ask Size,500.0
B/A Ratio,10.4
B/A Size,5200x500
Beta,0.9
Bid,10.45
Bid Size,5200.0
Closing Price,11.49
Day Change $,0.06
Day Change %,0.0052
Day High,11.64
Day Low,11.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.91
Ex-dividend Date,No dividend
Historical Volatility,0.616
Last (size),1200.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.43
Short Interest,0.07490000000000001
Today's Open,11.4
Volume,603825.0
Volume 10-day Avg,2151313.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2906976744186046
Growth 2yr High Est,-1.125
Growth 2yr Consensus Est,-0.7078488372093024
Growth 5yr Low Est,-0.2906976744186046
Growth 5yr High Est,-1.125
Growth 5yr Consensus Est,-0.7078488372093024
Growth 5yr Actual/Est,-0.3374407698263966
Growth 3yr Historic,-0.10430348572871936
Price/Earnings (TTM),
Price/Sales (TTM),9.985
Price/Book (MRQ),24.34574
Price/Cash Flow (TTM),
5yr Low,5.91
5yr High,25.39
5yr Avg Return,0.10191666666666664
EPS Growth 5yr,
Revenue Growth 5yr,1.280053
Dividend Growth 5yr,
Short Int Current Month,18878585.0
Short Int Prev Month,18258555.0
Short Int Pct of Float,0.0749305
Days to Cover,6.94149
Float,251.9554
Shares Outstanding,280.9453
Institutions Holding Shares,300.0
FCF Growth 5yr,-0.0956142786220547
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8853
Operating Profit Margin (TTM),-0.7484000000000001
Net Profit Margin (TTM),-0.8165000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4594
EPS Growth (TTM),-0.0124
Revenue Growth (MRQ),0.011899999999999999
Revenue Growth (TTM),0.0999
Return On Equity (TTM),-1.0369
Return On Assets (TTM),-0.30760000000000004
Return On Investment (TTM),-0.3691
Revenue Per Employee (TTM),651796.0
Total Debt/Total Capital (MRQ),0.747
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),2.7
Interest Coverage (MRQ),-3.74
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2016-12-08 00:00:00
researchTeam since,2016-12-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
