,FOLD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),9.99,45.03,Valuation,0.22185209860093272
Price/Book (MRQ),24.35,12.61,Valuation,1.9310071371927044
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8853,0.5874,Profitability,1.5071501532175688
Operating Profit Margin (TTM),-0.7484000000000001,-4.7459,Profitability,0.15769400956615184
Net Profit Margin (TTM),-0.8165000000000001,-4.5467,Profitability,0.17958079486220777
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.4594,-0.0014000000000000002,Gowth rates,-328.14285714285705
EPS Growth (TTM),-0.0124,0.027200000000000002,Gowth rates,-0.4558823529411764
Revenue Growth (MRQ),0.011899999999999999,1.3963999999999999,Gowth rates,0.00852191349183615
Revenue Growth (TTM),0.0999,0.9747,Gowth rates,0.10249307479224377
Return On Equity (TTM),-1.0369,0.1967,Effectiveness,-5.271479410269445
Return On Assets (TTM),-0.30760000000000004,0.0016,Effectiveness,-192.25000000000003
Return On Investment (TTM),-0.3691,0.0219,Effectiveness,-16.85388127853881
Revenue Per Employee (TTM),651796.0,1476201.0,Effectiveness,0.44153607808150785
Total Debt/Total Capital (MRQ),0.747,0.4675,Financial strength,1.5978609625668447
Change in Debt/Total Capital Quarter over Quarter,0.0027,0.0036,Financial strength,0.7500000000000001
Quick Ratio (MRQ),2.7,2.06,Financial strength,1.3106796116504855
Interest Coverage (MRQ),-3.74,2.69,Financial strength,-1.3903345724907064
