,BKU
Price/Earnings (TTM),8.70066
Price/Sales (TTM),2.90611
Price/Book (MRQ),1.14382
Price/Cash Flow (TTM),6.63117
5yr Low,13.47
5yr High,50.71
5yr Avg Return,0.019899999999999994
EPS Growth 5yr,0.1665925
Revenue Growth 5yr,-0.019591
Dividend Growth 5yr,0.0183609
Short Int Current Month,4353654.0
Short Int Prev Month,4556143.0
Short Int Pct of Float,0.056820300000000004
Days to Cover,8.71812
Float,76.6169
Shares Outstanding,77.27011
Institutions Holding Shares,322.0
% Held by Institutions,1.035542
FCF Growth 5yr,0.23237978634196196
