,BKU
% Above Low,0.09029999999999999
% Held by Institutions,1.0354999999999999
52-Wk Range,['33.54 - 46.75']
Annual Dividend $,1.0
Annual Dividend %,0.0273
Ask,36.92
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,36.57
Day Change $,0.1
Day Change %,0.0027
Day High,36.83
Day Low,36.52
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.2
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.34700000000000003
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",8.7
Prev Close,36.47
Short Interest,0.056799999999999996
Today's Open,36.58
Volume,86622.0
Volume 10-day Avg,452498.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.04580152671755733
Growth 1yr High Est,-0.18487394957983194
Growth 1yr Consensus Est,-0.11533773814869464
Growth 2yr Low Est,-0.04823409669211198
Growth 2yr High Est,-0.01898336654249322
Growth 2yr Consensus Est,-0.0336087316173026
Growth 5yr Low Est,-0.04823409669211198
Growth 5yr High Est,-0.01898336654249322
Growth 5yr Consensus Est,-0.0336087316173026
Growth 5yr Actual/Est,0.1680508399572324
Growth 3yr Historic,0.170604702379106
Price/Earnings (TTM),8.70066
Price/Sales (TTM),2.90611
Price/Book (MRQ),1.14382
Price/Cash Flow (TTM),6.63117
5yr Low,13.47
5yr High,50.71
5yr Avg Return,0.019899999999999994
EPS Growth 5yr,0.1665925
Revenue Growth 5yr,-0.019591
Dividend Growth 5yr,0.0183609
Short Int Current Month,4353654.0
Short Int Prev Month,4556143.0
Short Int Pct of Float,0.056820300000000004
Days to Cover,8.71812
Float,76.6169
Shares Outstanding,77.27011
Institutions Holding Shares,322.0
FCF Growth 5yr,0.23237978634196196
"Price/Earnings (TTM, GAAP)",8.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.36700000000000005
Net Profit Margin (TTM),0.35590000000000005
Annual Dividend Yield,0.0273
Dividend Change %,0.0222
"Dividend Growth Rate, 3 Years",0.0308
EPS Growth (MRQ),0.27899999999999997
EPS Growth (TTM),0.0484
Revenue Growth (MRQ),0.2212
Revenue Growth (TTM),0.0968
Return On Equity (TTM),0.12210000000000001
Return On Assets (TTM),0.0096
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-11-10 00:00:00
marketEdge opinion since,
