,PNT
% Above Low,0.5647
% Held by Institutions,0.5690999999999999
52-Wk Range,['4.25 - 10.98']
Annual Dividend $,
Annual Dividend %,
Ask,6.68
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,
Bid,6.63
Bid Size,100.0
Day Change $,-0.05
Day Change %,-0.0075
Day High,6.84
Day Low,6.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,1.0070000000000001
Last (size),12.0
Last (time),11:11a ET 11/28/22
Market Cap,702.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.7
Price,6.65
Short Interest,0.0815
Today's Open,6.65
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.2784810126582278
Growth 1yr High Est,0.8269230769230769
Growth 1yr Consensus Est,0.5527020447906523
Growth 2yr Low Est,0.23825040731921288
Growth 2yr High Est,-0.6602226720647776
Growth 2yr Consensus Est,-0.21098613237278235
Growth 5yr Low Est,0.23825040731921288
Growth 5yr High Est,-0.6602226720647776
Growth 5yr Consensus Est,-0.21098613237278235
Growth 5yr Actual/Est,0.18947455936148988
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.25563
Price/Cash Flow (TTM),
5yr Low,4.25
5yr High,21.44
5yr Avg Return,-0.05986666666666667
Short Int Current Month,7247696.0
Short Int Prev Month,7182761.0
Short Int Pct of Float,0.0814677
Days to Cover,5.17128
Float,89.46409
Shares Outstanding,105.6447
Institutions Holding Shares,137.0
FCF Growth 5yr,0.6925609217028814
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0472
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.27390000000000003
Return On Assets (TTM),-0.2626
Return On Investment (TTM),-0.27390000000000003
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
