,WDFC
Price/Earnings (TTM),35.80853
Price/Sales (TTM),4.5892
Price/Book (MRQ),12.64367
Price/Cash Flow (TTM),31.4843
5yr Low,115.55
5yr High,333.42
5yr Avg Return,0.10246666666666665
EPS Growth 5yr,0.056267199999999996
Revenue Growth 5yr,0.06397409999999999
Dividend Growth 5yr,0.1011638
Short Int Current Month,1235189.0
Short Int Prev Month,1292184.0
Short Int Pct of Float,0.0923724
Days to Cover,13.1184
Float,13.37455
Shares Outstanding,13.57993
Institutions Holding Shares,365.0
% Held by Institutions,0.9209040000000001
FCF Growth 5yr,-3.7247145941187694
