,WDFC
% Above Low,0.18460000000000001
% Held by Institutions,0.9209
52-Wk Range,['145.16 - 255.31']
Annual Dividend $,3.12
Annual Dividend %,0.0178
Ask,174.5
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,-0.2
Bid,171.95
Bid Size,200.0
Closing Price,171.95
Day Change $,-3.38
Day Change %,-0.019299999999999998
Day High,175.1
Day Low,171.01
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.9
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.4
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",35.81
Prev Close,175.33
Short Interest,0.0924
Today's Open,173.75
Volume,73925.0
Volume 10-day Avg,82056.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.020000000000000018
Growth 1yr High Est,0.027450980392156987
Growth 1yr Consensus Est,0.023725490196078503
Growth 2yr Low Est,0.05901960784313731
Growth 2yr High Est,0.12059571920371204
Growth 2yr Consensus Est,0.08980766352342467
Growth 5yr Low Est,0.05901960784313731
Growth 5yr High Est,0.12059571920371204
Growth 5yr Consensus Est,0.08980766352342467
Growth 5yr Actual/Est,0.08281631061296926
Growth 3yr Historic,0.02987252187890696
Price/Earnings (TTM),35.80853
Price/Sales (TTM),4.5892
Price/Book (MRQ),12.64367
Price/Cash Flow (TTM),31.4843
5yr Low,115.55
5yr High,333.42
5yr Avg Return,0.10246666666666665
EPS Growth 5yr,0.056267199999999996
Revenue Growth 5yr,0.06397409999999999
Dividend Growth 5yr,0.1011638
Short Int Current Month,1235189.0
Short Int Prev Month,1292184.0
Short Int Pct of Float,0.0923724
Days to Cover,13.1184
Float,13.37455
Shares Outstanding,13.57993
Institutions Holding Shares,365.0
FCF Growth 5yr,-3.7247145941187694
"Price/Earnings (TTM, GAAP)",35.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.49100000000000005
Operating Profit Margin (TTM),0.16829999999999998
Net Profit Margin (TTM),0.1298
Annual Dividend Yield,0.0178
Dividend Change %,0.10070000000000001
"Dividend Growth Rate, 3 Years",0.0889
EPS Growth (MRQ),0.0235
EPS Growth (TTM),-0.039
Revenue Growth (MRQ),0.0546
Revenue Growth (TTM),0.0629
Return On Equity (TTM),0.34490000000000004
Return On Assets (TTM),0.1558
Return On Investment (TTM),0.20170000000000002
Revenue Per Employee (TTM),889914.0
Total Debt/Total Capital (MRQ),0.4368
Change in Debt/Total Capital Quarter over Quarter,0.0025
Quick Ratio (MRQ),1.31
Interest Coverage (MRQ),15.34
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-07-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-02-25 00:00:00
cfra since,
marketEdge opinion since,
