,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.29,21.59,25.49,36.49,,,,,
low,17.51,5.86,10.94,20.53,,,,,
change,0.07200000000000001,-0.4888,0.8881,0.6646,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,21.0,6.0,24.0,33.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,30.0,50.0,74.0,62.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,29.0,49.0,73.0,61.0,Balance Sheet
Other Receivables,,,,,1.0,0.0,0.0,2.0,Balance Sheet
"Total Receivables, Net",,,,,31.0,49.0,73.0,63.0,Balance Sheet
Prepaid Expenses,,,,,3.0,3.0,5.0,3.0,Balance Sheet
"Other Curr. Assets, Total",,,,,0.0,0.0,0.0,7.0,Balance Sheet
Total Current Assets,,,,,55.0,58.0,102.0,106.0,Balance Sheet
Natural Resources,,,,,972.0,1017.0,1051.0,1065.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,9.0,10.0,10.0,9.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,981.0,1026.0,1061.0,1075.0,Balance Sheet
Accumulated Depreciation,,,,,-241.0,-260.0,-341.0,-356.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,740.0,766.0,720.0,719.0,Balance Sheet
Other Long Term Assets,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,,,821.0,856.0,861.0,865.0,Balance Sheet
Payable/Accrued,,,,,20.0,15.0,19.0,22.0,Balance Sheet
Accrued Expenses,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,,22.0,16.0,20.0,23.0,Balance Sheet
Total Long Term Debt,,,,,93.0,93.0,73.0,73.0,Balance Sheet
Total Debt,,,,,93.0,93.0,73.0,73.0,Balance Sheet
Minority Interest,,,,,173.0,141.0,108.0,98.0,Balance Sheet
"Other Liabilities, Total",,,,,7.0,7.0,7.0,7.0,Balance Sheet
Total Liabilities,,,,,294.0,257.0,208.0,202.0,Balance Sheet
Redeemable Preferred Stock,,,,,0.0,,,,Balance Sheet
