,MNRL
% Below High,0.0329
% Held by Institutions,0.7954000000000001
52-Wk Range,['19.37 - 36.49']
Annual Dividend $,3.03
Annual Dividend %,0.0859
Ask,35.01
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,24.24
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,35.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.43
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.45
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,35.29
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",14.54
Prev Close,35.29
Short Interest,0.0235
Today's Open,
Volume,55.0
Volume 10-day Avg,468538.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,4.897435897435897
Growth 1yr High Est,2.9268292682926833
Growth 1yr Consensus Est,3.91213258286429
Growth 2yr Low Est,2.3335005574136005
Growth 2yr High Est,1.4432282987426148
Growth 2yr Consensus Est,1.8883644280781078
Growth 5yr Low Est,1.1667502787068003
Growth 5yr High Est,0.7216141493713074
Growth 5yr Consensus Est,0.9441822140390539
Growth 5yr Actual/Est,0.5902063577058826
Growth 3yr Historic,0.22149122807017546
Price/Earnings (TTM),14.53591
Price/Sales (TTM),7.01272
Price/Book (MRQ),3.2132
Price/Cash Flow (TTM),10.37118
5yr Low,5.86
5yr High,36.49
5yr Avg Return,0.28397500000000003
EPS Growth 5yr,0.36062130000000003
Revenue Growth 5yr,0.4999608
Dividend Growth 5yr,
Short Int Current Month,1286609.0
Short Int Prev Month,1489965.0
Short Int Pct of Float,0.023486600000000003
Days to Cover,2.37929
Float,52.09903
Shares Outstanding,60.44614
Institutions Holding Shares,237.0
FCF Growth 5yr,1.688021513519616
"Price/Earnings (TTM, GAAP)",14.54
"PEG Ratio (TTM, GAAP)",0.45
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.6458
Net Profit Margin (TTM),0.5109
Annual Dividend Yield,0.0859
Dividend Change %,0.177
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.11480000000000001
EPS Growth (TTM),106.5098
Revenue Growth (MRQ),0.0366
Revenue Growth (TTM),1.2153
Return On Equity (TTM),0.22350000000000003
Return On Assets (TTM),0.1959
Return On Investment (TTM),0.24280000000000002
Revenue Per Employee (TTM),6913228.0
Total Debt/Total Capital (MRQ),0.0874
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),54.91
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2022-04-19 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
