,MNRL
Price/Earnings (TTM),14.53591
Price/Sales (TTM),7.01272
Price/Book (MRQ),3.2132
Price/Cash Flow (TTM),10.37118
5yr Low,5.86
5yr High,36.49
5yr Avg Return,0.28397500000000003
EPS Growth 5yr,0.36062130000000003
Revenue Growth 5yr,0.4999608
Dividend Growth 5yr,
Short Int Current Month,1286609.0
Short Int Prev Month,1489965.0
Short Int Pct of Float,0.023486600000000003
Days to Cover,2.37929
Float,52.09903
Shares Outstanding,60.44614
Institutions Holding Shares,237.0
% Held by Institutions,0.795378
FCF Growth 5yr,1.688021513519616
