,EXLS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",45.47,53.11,Valuation,0.8561476181510074
Price/Sales (TTM),4.64,19.35,Valuation,0.23979328165374675
Price/Book (MRQ),8.78,19.03,Valuation,0.46137677351550177
"PEG Ratio (TTM, GAAP)",2.71,3.41,Valuation,0.7947214076246334
Gross Profit Margin (TTM),0.3676,0.44520000000000004,Profitability,0.8256963162623538
Operating Profit Margin (TTM),0.133,0.3027,Profitability,0.43937892302609843
Net Profit Margin (TTM),0.1043,0.23600000000000002,Profitability,0.4419491525423729
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.09230000000000001,-3.5569,Gowth rates,-0.025949562821558098
EPS Growth (TTM),0.1916,0.15560000000000002,Gowth rates,1.2313624678663238
Revenue Growth (MRQ),0.042,0.16460000000000002,Gowth rates,0.25516403402187116
Revenue Growth (TTM),0.239,0.2273,Gowth rates,1.051473823141223
Return On Equity (TTM),0.20070000000000002,0.5459,Effectiveness,0.36764975270196004
Return On Assets (TTM),0.1118,0.1131,Effectiveness,0.9885057471264367
Return On Investment (TTM),0.1406,0.18910000000000002,Effectiveness,0.7435219460602855
Revenue Per Employee (TTM),35637.0,686074.0,Effectiveness,0.05194337637047899
Total Debt/Total Capital (MRQ),0.2774,0.5613,Financial strength,0.494209869944771
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0048,Financial strength,0.6041666666666666
Quick Ratio (MRQ),2.02,0.16,Financial strength,12.625
Interest Coverage (MRQ),,27.21,Financial strength,
